Gene	interpro	GO	SMART	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	CDD	Coils	SUPERFAMILY	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	PIRSF	Hamap	SFLD
EHK22294.1	IPR025604	GO:0006897;GO:0007015;GO:0005515;GO:0005509	SM00054;SM00027	PS50031;PS50222	PF12761;PF12763	G3DSA:1.10.238.10	NA	cd00052	Coil	SSF47473	PS00018	NA	NA	NA	NA	NA	NA
EHK19267.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	SM00906	NA	PF04082	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23315.1	IPR016031	NA	NA	NA	PF01987	G3DSA:3.60.160.10	mobidb-lite	NA	NA	SSF51219	NA	NA	NA	NA	NA	NA	NA
EHK17342.1	IPR015797	GO:0016787	NA	NA	PF00293	G3DSA:3.90.79.10	NA	cd03424	NA	SSF55811	NA	NA	NA	NA	NA	NA	NA
EHK26926.1	IPR023192	GO:0005525	NA	PS51710	PF06071;PF01926	G3DSA:1.10.150.300;G3DSA:3.40.50.300;G3DSA:3.10.20.30	NA	cd01900;cd04867	NA	SSF81271;SSF52540	NA	PR00326	Reactome: R-HSA-114608	TIGR00092	PIRSF006641	MF_00944	NA
EHK16069.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26450.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20919.1	IPR010987	GO:0000049	NA	PS50405;PS50886	PF01588	G3DSA:1.20.1050.130;G3DSA:2.40.50.140	mobidb-lite	cd02799;cd10304	Coil	SSF47616;SSF50249	NA	NA	Reactome: R-HSA-379716	NA	NA	NA	NA
EHK24174.1	NA	NA	NA	NA	NA	G3DSA:1.10.10.2120;G3DSA:3.60.60.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16870.1	IPR028889	GO:0006511;GO:0036459;GO:0016579	NA	PS50235	PF00443	NA	mobidb-lite	cd02662	NA	SSF54001	PS00972;PS00973	NA	NA	NA	NA	NA	NA
EHK17419.1	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20201.1	IPR004045	GO:0005515	NA	PS50404;PS50405	PF13417;PF14497	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	cd03048	NA	SSF47616;SSF52833	NA	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358
EHK22801.1	IPR002110	GO:0005515	SM00248	PS50297;PS50088	PF13606;PF12796	G3DSA:1.25.40.20	NA	NA	NA	SSF48403	NA	PR01415	NA	NA	NA	NA	NA
EHK18054.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24335.1	IPR020846	NA	NA	PS50850	NA	G3DSA:1.20.1250.20	NA	cd17333	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK18044.1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	PF00743	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	PR00370	NA	NA	NA	NA	NA
EHK18412.1	IPR000182	GO:0008080	NA	PS51186	PF13673	G3DSA:3.40.630.30	NA	NA	NA	SSF55729	NA	NA	NA	NA	NA	NA	NA
EHK22170.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26746.1	IPR012334	GO:0004650;GO:0005975	SM00710	NA	PF00295	G3DSA:2.160.20.10	NA	NA	NA	SSF51126	NA	NA	NA	NA	NA	NA	NA
EHK23687.1	IPR002048	GO:0005509	SM00054	PS50222	PF13499	G3DSA:1.10.238.10	mobidb-lite	cd00051	NA	SSF47473	PS00018	NA	NA	NA	NA	NA	NA
EHK16292.1	IPR032710	NA	NA	NA	NA	G3DSA:3.10.450.50	mobidb-lite	NA	NA	SSF54427	NA	NA	NA	NA	NA	NA	NA
EHK18068.1	IPR036851	GO:0004601	NA	PS51405	PF01328	G3DSA:1.10.489.10	NA	NA	NA	SSF47571	NA	NA	NA	NA	NA	NA	NA
EHK23212.1	IPR041516	NA	SM00849	NA	PF17778;PF00753	G3DSA:1.10.10.10;G3DSA:3.60.15.10	NA	cd07722	NA	SSF56281	NA	NA	NA	NA	NA	NA	NA
EHK17710.1	IPR000095	NA	NA	PS50108	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18790.1	IPR005599	GO:0016757	NA	NA	PF03901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16809.1	IPR001680	GO:0005515	SM00320	PS50294;PS50082	NA	G3DSA:2.130.10.10	mobidb-lite	NA	Coil	SSF50978	NA	NA	NA	NA	NA	NA	NA
EHK27218.1	IPR020472	GO:0005515	SM00320	PS50082;PS50294	PF00400;PF12265	G3DSA:2.130.10.10	NA	cd00200	NA	SSF50978	PS00678	PR00320	NA	NA	NA	NA	NA
EHK21272.1	IPR035979	GO:0003676	NA	NA	NA	NA	mobidb-lite	cd00590	NA	SSF54928	NA	NA	NA	NA	NA	NA	NA
EHK18547.1	IPR026992	GO:0016491;GO:0055114	NA	PS51471	PF14226;PF03171	G3DSA:2.60.120.330	NA	NA	NA	SSF51197	NA	PR00682	NA	NA	NA	NA	NA
EHK17485.1	IPR002347	NA	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PR00081	NA	NA	NA	NA	NA
EHK22620.1	IPR034666	GO:0005885;GO:0015629;GO:0030041;GO:0030833;GO:0034314	NA	NA	PF05856	G3DSA:3.30.1460.20	NA	NA	NA	SSF69645	NA	NA	Reactome: R-HSA-2029482|Reactome: R-HSA-3928662|Reactome: R-HSA-5663213|Reactome: R-HSA-8856828	NA	PIRSF039100	NA	NA
EHK17896.1	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0071949;GO:0003824	NA	PS51387	PF01565;PF08031	G3DSA:3.30.465.50;G3DSA:3.30.465.40	NA	NA	NA	SSF55103;SSF56176	NA	NA	NA	NA	NA	NA	NA
EHK27272.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17823.1	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20043.1	IPR018170	GO:0016491;GO:0055114	NA	NA	PF00248	G3DSA:3.20.20.100	NA	cd06660	NA	SSF51430	PS00798;PS00062	PR00069	NA	NA	PIRSF000097	NA	NA
EHK25612.1	IPR008427	NA	SM00747	NA	PF05730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15394.1	IPR027417	GO:0003676;GO:0005524	SM00490;SM00487	PS51195;PS51194;PS51192	PF00270;PF00271	G3DSA:3.40.50.300	mobidb-lite	cd18787;cd17945	Coil	SSF52540	PS00039	NA	NA	NA	NA	NA	NA
EHK17109.1	IPR006085	GO:0004518;GO:0006281;GO:0008821	SM00485;SM00484	NA	PF18380;PF00867;PF00752	G3DSA:3.40.50.1010	mobidb-lite	cd09870;cd09906	NA	SSF88723;SSF47807	NA	PR00853	NA	NA	NA	NA	NA
EHK27279.1	IPR007317	GO:0045048;GO:0005515	NA	NA	PF04190	G3DSA:1.25.40.10	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-9609523	NA	NA	NA	NA
EHK16798.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18726.1	IPR001578	GO:0004843;GO:0006511	NA	NA	PF01088	G3DSA:3.40.532.10	NA	cd09616	NA	SSF54001	NA	PR00707	Reactome: R-HSA-5689603	NA	NA	NA	NA
EHK25945.1	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18029.1	IPR019190	GO:0045145	NA	NA	PF09810	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24742.1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	SM00220;SM00133	PS51285;PS50011	PF00433;PF00069	G3DSA:3.30.200.20;G3DSA:1.10.510.10	mobidb-lite	cd05123	NA	SSF56112	PS00108	NA	NA	NA	NA	NA	NA
EHK17956.1	IPR041112	GO:0000776;GO:0031262	NA	NA	PF18595;PF03800	G3DSA:1.10.418.60	mobidb-lite	NA	Coil	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA
EHK18318.1	IPR036663	GO:0003824	NA	NA	PF01557	G3DSA:3.90.850.10	NA	NA	NA	SSF56529	NA	NA	NA	NA	NA	NA	NA
EHK20027.1	IPR032697	GO:0016866;GO:0000250;GO:0005811;GO:0016104;GO:0042300	NA	NA	PF13249;PF13243	G3DSA:1.50.10.20;G3DSA:2.40.50.310	mobidb-lite	cd02892	NA	SSF48239	PS01074	NA	Reactome: R-HSA-191273|Reactome: R-HSA-2426168	TIGR01787	NA	NA	SFLDG01016
EHK20437.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15588.1	IPR015943	GO:0005515	NA	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25134.1	IPR034804	GO:0016020;GO:0005740;GO:0016021	NA	NA	PF05328	G3DSA:1.20.1300.10	NA	cd03496	NA	SSF81343	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	NA	NA	NA
EHK19332.1	IPR000683	GO:0016491	NA	NA	PF01408	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	SSF55347;SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK22860.1	IPR023631		NA	NA	PF01425	G3DSA:3.90.1300.10	NA	NA	NA	SSF75304	PS00571	NA	KEGG: 00970+6.3.5.7	NA	PIRSF001221	NA	NA
EHK24859.1	IPR036397	GO:0003676;GO:0006139;GO:0008408	NA	NA	PF01612	G3DSA:3.30.420.10	NA	NA	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA
EHK25938.1	IPR000701	GO:0016627;GO:0016020;GO:0000104;GO:0006099;GO:0045281	NA	NA	PF01127	G3DSA:1.20.1300.10	NA	cd03499	NA	SSF81343	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	PIRSF000178	NA	NA
EHK26014.1	IPR025714	NA	NA	NA	PF13679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26584.1	IPR023395	NA	NA	PS50920	PF00153	G3DSA:1.50.40.10	NA	NA	NA	SSF103506	NA	NA	NA	NA	NA	NA	NA
EHK16676.1	IPR008927	GO:0055114;GO:0004735;GO:0006561	NA	NA	PF14748;PF03807	G3DSA:3.40.50.720;G3DSA:1.10.3730.10	NA	NA	NA	SSF48179;SSF51735	PS00521	NA	KEGG: 00330+1.5.1.2|MetaCyc: PWY-3341|MetaCyc: PWY-4981|MetaCyc: PWY-6344|Reactome: R-HSA-8964539	TIGR00112	NA	MF_01925	NA
EHK23991.1	IPR007111	GO:0005515;GO:0003824;GO:0009116	SM00248	PS50088;PS50297	PF05729;PF12796;PF01048	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	cd09008	NA	SSF48403;SSF53167	NA	PR01415	NA	NA	NA	NA	NA
EHK25293.1	IPR036412		SM00775	NA	PF04571;PF08235	NA	mobidb-lite	NA	NA	SSF56784	NA	NA	KEGG: 00561+3.1.3.4|KEGG: 00564+3.1.3.4|KEGG: 00565+3.1.3.4|KEGG: 00600+3.1.3.4|MetaCyc: PWY-6453|MetaCyc: PWY-7782|MetaCyc: PWY-8051|MetaCyc: PWY-8052|MetaCyc: PWY-8053|MetaCyc: PWY-8055|Reactome: R-HSA-1483191|Reactome: R-HSA-1483213|Reactome: R-HSA-4419969|Reactome: R-HSA-75109	NA	NA	NA	NA
EHK19021.1	IPR016712	NA	NA	NA	PF11709	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27330.1	IPR021858	NA	NA	NA	PF11951	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17729.1	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	PF04116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24107.1	NA	NA	NA	NA	NA	NA	mobidb-lite	cd08188	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15788.1	IPR001711	GO:0004435;GO:0006629;GO:0007165;GO:0035556;GO:0008081	SM00148;SM00149	PS50008;PS50007	PF00387;PF00388	G3DSA:3.20.20.190;G3DSA:2.60.40.150	mobidb-lite	cd08598;cd00275	Coil	SSF49562;SSF51695	NA	PR00390	KEGG: 00562+3.1.4.11|KEGG: 04070+3.1.4.11|MetaCyc: PWY-6351|MetaCyc: PWY-6367|MetaCyc: PWY-7039|MetaCyc: PWY-8052|Reactome: R-HSA-1855204	NA	NA	NA	NA
EHK23849.1	IPR022673	GO:0005524;GO:0005975;GO:0016773;GO:0001678;GO:0004396;GO:0005536	NA	PS51748	PF03727;PF00349	G3DSA:3.40.367.20;G3DSA:3.30.420.40	NA	NA	NA	SSF53067	NA	PR00475	KEGG: 00010+2.7.1.1|KEGG: 00051+2.7.1.1|KEGG: 00052+2.7.1.1|KEGG: 00500+2.7.1.1|KEGG: 00520+2.7.1.1|KEGG: 00521+2.7.1.1|KEGG: 00524+2.7.1.1|Reactome: R-HSA-70171	NA	NA	NA	NA
EHK20934.1	IPR016166	GO:0071949;GO:0016491;GO:0050660;GO:0055114	NA	PS51387	PF08031;PF01565	G3DSA:3.30.465.40;G3DSA:3.40.462.20	NA	NA	NA	SSF56176	NA	NA	NA	NA	NA	NA	NA
EHK20599.1	IPR032675	NA	NA	NA	NA	G3DSA:3.80.10.10	NA	NA	Coil	SSF52047	NA	NA	NA	NA	NA	NA	NA
EHK23043.1	IPR036259	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	PS50850	PF00083	G3DSA:1.20.1250.20	NA	cd17356	NA	SSF103473	NA	NA	Reactome: R-HSA-189200	TIGR00879	NA	NA	NA
EHK25333.1	IPR001452	GO:0005515;GO:0005777;GO:0016021;GO:0016560	SM00326	PS50002	PF04088;PF07653	G3DSA:2.30.30.40	mobidb-lite	cd11771	Coil	SSF50044	NA	NA	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241|Reactome: R-HSA-9603798	NA	NA	NA	NA
EHK23969.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK17842.1	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18112.1	IPR020683	GO:0005515	SM00248	PS50088;PS50297	PF12796	G3DSA:1.25.40.20	NA	NA	NA	SSF48403	NA	NA	NA	NA	NA	NA	NA
EHK18084.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21259.1	IPR010569	GO:0004725;GO:0016311	NA	PS51339	PF06602	G3DSA:2.30.29.30	mobidb-lite	cd17666	NA	SSF52799	PS00383	NA	NA	NA	NA	NA	NA
EHK22371.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20151.1	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	SM00382	PS50929;PS50893	PF00664;PF00005	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	mobidb-lite	cd18580;cd18579	NA	SSF90123;SSF52540	PS00211	NA	NA	NA	NA	NA	NA
EHK17121.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19104.1	IPR000218	GO:0003735;GO:0005840;GO:0006412	SM01374	NA	PF00238	G3DSA:2.40.150.20	NA	NA	NA	SSF50193	PS00049	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	MF_01367	NA
EHK15521.1	IPR016024	GO:0005049;GO:0006886;GO:0008536	SM01102;SM00913	PS50166	PF18777;PF18787;PF18784;PF08767;PF08389;PF03810	G3DSA:1.25.10.10	mobidb-lite	NA	NA	SSF48371	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-165054|Reactome: R-HSA-168333|Reactome: R-HSA-2173788|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3769402|Reactome: R-HSA-450520|Reactome: R-HSA-5663220|Reactome: R-HSA-5687128|Reactome: R-HSA-68877|Reactome: R-HSA-69273|Reactome: R-HSA-9634638	NA	NA	NA	NA
EHK17634.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK18729.1	IPR002314	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004828;GO:0006434	NA	PS50862	PF00587;PF02403	G3DSA:3.30.930.10;G3DSA:1.10.287.40	mobidb-lite	NA	Coil	SSF46589;SSF55681	NA	PR00981	KEGG: 00970+6.1.1.11|MetaCyc: PWY-6281	TIGR00414	PIRSF001529	NA	NA
EHK18591.1	IPR005321		NA	NA	PF03576	G3DSA:3.60.70.12	NA	cd02253	Coil	SSF56266	NA	NA	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	NA	NA	NA	NA
EHK15844.1	IPR026015	GO:0015986;GO:0046933;GO:0016020	NA	NA	PF00213	G3DSA:1.10.520.20	NA	NA	NA	SSF47928	PS00389	PR00125	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	TIGR01145	NA	MF_01416	NA
EHK22923.1	IPR036291	GO:0016491	NA	NA	PF01408	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	SSF51735;SSF55347	NA	NA	NA	NA	NA	NA	NA
EHK23419.1	IPR029058	NA	NA	NA	PF00135	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	PS00122	NA	NA	NA	NA	NA	NA
EHK25019.1	IPR018851		NA	NA	PF10444	NA	mobidb-lite	NA	Coil	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA
EHK26110.1	IPR000889	GO:0004602;GO:0006979;GO:0055114	NA	PS51355	PF00255	G3DSA:3.40.30.10	NA	cd00340	NA	SSF52833	PS00460;PS00763	PR01011	Reactome: R-HSA-3299685	NA	PIRSF000303	NA	NA
EHK24286.1	IPR036249	GO:0045454	NA	PS51352	PF00085	G3DSA:3.40.30.10	mobidb-lite	cd02981;cd03002	NA	SSF52833	PS00194	PR00421	NA	NA	NA	NA	NA
EHK25475.1	IPR024774	GO:0005515;GO:0005543;GO:0005938;GO:0032065	NA	NA	PF12814	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK22598.1	IPR023335	GO:0043461	NA	NA	PF07542	G3DSA:1.10.3580.10;G3DSA:3.30.2180.30	NA	NA	Coil	SSF160909	NA	NA	NA	NA	NA	NA	NA
EHK25607.1	IPR008030		NA	NA	PF05368	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
EHK23027.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25498.1	IPR003265	GO:0006284;GO:0003824;GO:0006281	SM00478	NA	PF00730	G3DSA:1.10.1670.40;G3DSA:1.10.340.30	mobidb-lite	cd00056	NA	SSF48150	NA	NA	Reactome: R-HSA-110357	NA	NA	NA	NA
EHK24840.1	IPR036638	GO:0046983	SM00353	PS50888	PF00010	G3DSA:4.10.280.10	mobidb-lite	cd00083	Coil	SSF47459	NA	NA	NA	NA	NA	NA	NA
EHK19678.1	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21605.1	IPR013189	GO:0004553;GO:0005975	SM00640	NA	PF08244;PF00251	G3DSA:2.60.120.560;G3DSA:2.115.10.20	NA	cd18621	NA	SSF49899;SSF75005	NA	NA	NA	NA	NA	NA	NA
EHK20004.1	IPR036770	GO:0005515	SM00248	PS50088;PS50297	PF12796	G3DSA:1.25.40.20	mobidb-lite	NA	NA	SSF48403	NA	NA	NA	NA	NA	NA	NA
EHK20049.1	IPR000649	GO:0044237	NA	NA	PF01008	G3DSA:3.40.50.10470	mobidb-lite	NA	NA	SSF100950	NA	NA	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	NA	NA	NA
EHK16497.1	IPR024738	GO:0070461	NA	NA	PF12767	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-3214847	NA	NA	NA	NA
EHK20319.1	IPR006680	GO:0016787;GO:0016810	NA	NA	PF01979	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	SSF51556	NA	NA	NA	NA	NA	NA	NA
EHK24082.1	IPR019734	GO:0005515;GO:0043531	SM00028	PS50293	PF00931;PF13424	G3DSA:3.40.50.300;G3DSA:1.25.40.10	NA	NA	NA	SSF48452;SSF52540	NA	PR00364	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	NA	NA	NA	NA
EHK24732.1	IPR007902	GO:0007059;GO:0051382	NA	NA	PF05238	G3DSA:3.10.20.720	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA
EHK19865.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22153.1	IPR036028	GO:0005515	NA	NA	NA	G3DSA:2.30.30.40	mobidb-lite	cd12087	NA	SSF50044	NA	NA	NA	NA	NA	NA	NA
EHK16025.1	IPR011516	GO:0000775;GO:0005634;GO:0045132	NA	NA	PF07558;PF07557	NA	mobidb-lite	NA	Coil	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA
EHK18442.1	IPR025671	NA	NA	NA	PF13787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17225.1	IPR001087	GO:0016788	NA	NA	PF00657	G3DSA:3.40.50.1110	NA	cd01846	NA	SSF52266	NA	NA	NA	NA	NA	NA	NA
EHK16884.1	IPR036457	GO:0003824	SM00332	PS51746	PF00481	NA	NA	cd00143	NA	SSF81606	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	NA	NA	NA
EHK16348.1	IPR000675	GO:0016787	SM01110	PS51257	PF01083	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK22479.1	IPR030379	GO:0005525	NA	PS51719	PF00735	NA	mobidb-lite	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
EHK23841.1	NA	NA	NA	NA	NA	G3DSA:3.30.160.20	NA	NA	NA	SSF54768	NA	NA	NA	NA	NA	NA	NA
EHK24086.1	IPR029063	NA	NA	NA	PF13649	G3DSA:3.40.50.150	NA	cd02440	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
EHK15413.1	IPR003807	NA	NA	NA	PF02656	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16457.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22844.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23523.1	IPR029058	NA	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK21452.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SM00066	PS50048	PF04082;PF00172	G3DSA:4.10.240.10	NA	cd12148;cd00067	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK22495.1	IPR019461		NA	NA	PF10381;PF03987;PF03986	G3DSA:3.30.1460.50	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1632852	NA	NA	NA	NA
EHK24270.1	IPR000868	GO:0003824	NA	NA	PF00857	G3DSA:3.40.50.850	NA	cd01011	NA	SSF52499	NA	NA	NA	NA	NA	NA	NA
EHK20288.1	IPR010977	GO:0006520;GO:0016831;GO:0003824;GO:0019752;GO:0030170	NA	NA	PF00282	G3DSA:3.90.1150.10;G3DSA:3.40.640.10;G3DSA:1.20.1340.10	NA	NA	NA	SSF53383	PS00392	PR00800	NA	NA	NA	NA	NA
EHK19405.1	IPR013785	GO:0003824;GO:0010181;GO:0016491;GO:0055114	NA	NA	PF00724	G3DSA:3.20.20.70	NA	cd02933	NA	SSF51395	NA	NA	NA	NA	NA	NA	NA
EHK27119.1	IPR028882	GO:0005739;GO:0018293	NA	NA	PF03937	G3DSA:1.10.150.250	mobidb-lite	NA	NA	SSF109910	NA	NA	NA	NA	NA	MF_03057	NA
EHK17794.1	IPR007271	GO:0000139;GO:0015165;GO:0016021;GO:0090481;GO:0016020	NA	NA	PF04142;PF00892	NA	NA	NA	NA	SSF103481	NA	NA	NA	NA	PIRSF036436	NA	NA
EHK20199.1	IPR036188	NA	NA	NA	PF13450	G3DSA:3.50.50.60;G3DSA:1.10.405.20;G3DSA:3.30.70.1990	NA	NA	NA	SSF51905	NA	NA	NA	NA	NA	NA	NA
EHK26098.1	IPR036291	GO:0016491	NA	NA	PF01408	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK17552.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
