Gene	MobiDBLite	CDD	interpro	GO	Pfam	SMART	PATHWAY	Gene3D	ProSiteProfiles	SUPERFAMILY	ProSitePatterns	Coils	PIRSF	PRINTS	TIGRFAM	SFLD	Hamap
OTA05526.1	mobidb-lite	NA	IPR023299	GO:0000166;GO:0016021	PF13246;PF00702;PF00689;PF00122;PF00690	SM00831	Reactome: R-HSA-936837	G3DSA:3.40.50.1000;G3DSA:1.20.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.1110.10	NA	SSF81660;SSF81665;SSF56784;SSF81653	PS00154	NA	NA	PR00121;PR00119	TIGR01494	SFLDF00027;SFLDG00002	NA
OTA06232.1	NA	cd02947	IPR008580	GO:0045454	PF05903;PF00085;PF08324	SM01179	NA	G3DSA:3.40.30.10;G3DSA:3.90.1720.30;G3DSA:1.25.10.10	PS51858;PS51396;PS51352	SSF52833	PS00194	NA	NA	NA	NA	NA	NA
OTA08874.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00245.1	mobidb-lite	cd07557	IPR033704	GO:0000287;GO:0004170;GO:0006226;GO:0046081	PF00692	NA	KEGG: 00240+3.6.1.23|KEGG: 00983+3.6.1.23	G3DSA:2.70.40.10	NA	SSF51283	NA	NA	NA	NA	TIGR00576	NA	NA
OTA03046.1	NA	NA	IPR036851	GO:0004601	PF01328	NA	NA	G3DSA:1.10.489.10	PS51405	SSF47571	NA	NA	NA	NA	NA	NA	NA
OTA06028.1	NA	cd00882	IPR025662	GO:0005525	PF01926	NA	NA	NA	NA	SSF52540	PS00675	Coil	NA	NA	NA	NA	NA
OTA01552.1	NA	cd02021	IPR027417	GO:0005975;GO:0016301	NA	NA	KEGG: 00030+2.7.1.12|MetaCyc: PWY-5530	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	TIGR01313	NA	NA
OTA00037.1	NA	NA	IPR023631		PF01425	NA	KEGG: 00970+6.3.5.7	G3DSA:3.90.1300.10	NA	SSF75304	NA	NA	PIRSF001221	NA	NA	NA	NA
OTA03064.1	NA	NA	IPR015424	GO:0004648;GO:0006564;GO:0003824	PF00266	NA	KEGG: 00260+2.6.1.52|KEGG: 00270+2.6.1.52|KEGG: 00680+2.6.1.52|KEGG: 00750+2.6.1.52|MetaCyc: PWY-8010|Reactome: R-HSA-977347	G3DSA:3.90.1150.10	NA	SSF53383	NA	NA	PIRSF000525	NA	NA	NA	MF_00160
OTA03914.1	mobidb-lite	NA	IPR036047	GO:0005515	NA	NA	NA	G3DSA:1.20.1280.50	PS50181	SSF81383	NA	NA	NA	NA	NA	NA	NA
OTA02237.1	mobidb-lite	NA	IPR023601	GO:0000139;GO:0005801;GO:0006888;GO:0016021	PF12352	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438	NA	NA	NA	NA	Coil	PIRSF027109	NA	NA	NA	NA
OTA07075.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01696.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02303.1	NA	NA	IPR000552	GO:0003735;GO:0005840;GO:0006412	PF00935	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:3.10.450.80	NA	SSF57829	PS01172	NA	NA	NA	NA	NA	NA
OSZ99833.1	mobidb-lite	NA	IPR002110	GO:0005515	PF12796	SM00248	NA	NA	PS50088;PS50297	SSF48403	NA	Coil	NA	NA	NA	NA	NA
OTA03913.1	mobidb-lite	cd17354	IPR011701	GO:0055085	PF07690	NA	NA	NA	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
OSZ99910.1	mobidb-lite	cd04320;cd00776	IPR004523	GO:0000166;GO:0004815;GO:0005524;GO:0005737;GO:0006422;GO:0004812;GO:0006418	PF00152	NA	Reactome: R-HSA-2408522|Reactome: R-HSA-379716	G3DSA:2.40.50.140;G3DSA:3.30.930.10	PS50862	SSF55681;SSF50249	NA	Coil	NA	PR01042	NA	NA	MF_02075
OTA00730.1	NA	NA	IPR002347	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA
OTA03906.1	mobidb-lite	NA	IPR003010	GO:0006807	PF00795	NA	NA	G3DSA:3.60.110.10	PS50263	SSF56317	NA	Coil	NA	NA	NA	NA	NA
OTA05586.1	NA	cd05259	IPR036291		PF05368	NA	Reactome: R-HSA-70635	G3DSA:3.40.50.720	NA	SSF51735	NA	Coil	NA	NA	NA	NA	NA
OTA06453.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07774.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA02824.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA07174.1	NA	cd00378	IPR039429	GO:0030170;GO:0003824;GO:0004372;GO:0019264;GO:0035999	PF00464	NA	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	SSF53383	PS00096	NA	PIRSF000412	NA	NA	NA	MF_00051
OTA03169.1	mobidb-lite	cd00154	IPR001806	GO:0003924;GO:0005525	PF00071	SM00174;SM00175;SM00176;SM00173	NA	NA	PS51419	SSF52540	NA	NA	NA	PR00449	TIGR00231	NA	NA
OTA04200.1	mobidb-lite	NA	IPR027842	GO:0008289	PF14613	NA	NA	NA	NA	SSF55394	NA	NA	NA	NA	NA	NA	NA
OTA07561.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07698.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07781.1	mobidb-lite	cd16927	IPR036890	NA	PF12449	NA	NA	G3DSA:3.30.565.10	NA	SSF55874	NA	Coil	NA	NA	NA	NA	NA
OTA05426.1	mobidb-lite	cd00009	IPR003959	GO:0005524	PF00004	NA	NA	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA00423.1	mobidb-lite	cd02110	IPR036374	GO:0042128;GO:0016491;GO:0030151;GO:0055114	PF03404;PF00174	NA	Reactome: R-HSA-1614517	G3DSA:2.60.40.650;G3DSA:3.90.420.10	NA	SSF56524;SSF81296	NA	NA	NA	PR00407	NA	NA	NA
OTA04825.1	mobidb-lite	NA	IPR002625	GO:0046872	PF01713;PF08590	SM01162;SM00356;SM00463	NA	G3DSA:3.30.1370.110;G3DSA:4.10.1000.10	PS50828;PS50103	SSF90229;SSF160443	NA	NA	NA	NA	NA	NA	NA
OTA06153.1	mobidb-lite	NA	IPR036928		PF01425	NA	KEGG: 00970+6.3.5.7	G3DSA:3.90.1300.10	NA	SSF75304	NA	NA	NA	NA	NA	NA	NA
OTA05738.1	mobidb-lite	NA	IPR018865		PF10494	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08018.1	NA	cd06097	IPR001461	GO:0004190;GO:0006508	PF00026	NA	NA	G3DSA:2.40.70.10	PS51767	SSF50630	PS00141	NA	NA	PR00792	NA	NA	NA
OTA02332.1	NA	cd00250	IPR038492	GO:0005506;GO:0045329;GO:0050353;GO:0016491;GO:0055114	PF06155;PF02668	NA	Reactome: R-HSA-71262	G3DSA:3.30.2020.30;G3DSA:3.60.130.10	NA	SSF51197	NA	NA	NA	NA	TIGR02410	NA	NA
OTA02341.1	NA	cd07389	IPR018946	NA	PF09423	NA	NA	G3DSA:3.60.21.70	NA	SSF56300	NA	NA	NA	NA	NA	NA	NA
OTA06443.1	mobidb-lite	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	SM00066	NA	NA	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
OTA01055.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05244.1	NA	NA	IPR005024	GO:0007034	PF03357	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA04976.1	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07759.1	NA	NA	IPR020934	GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0015935	PF00203	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:3.30.860.20	NA	SSF54570	PS00323	NA	PIRSF002144	PR00975	TIGR01025	NA	MF_00531
OTA04487.1	NA	NA	IPR002347	GO:0016491	PF13561	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	PS00061	NA	NA	PR00081	NA	NA	NA
OTA06178.1	mobidb-lite	NA	IPR013657	GO:0055085	PF08449	NA	NA	NA	NA	SSF103481	NA	NA	NA	NA	TIGR00803	NA	NA
OTA01923.1	mobidb-lite	cd01479	IPR036174	GO:0006886;GO:0006888;GO:0008270;GO:0030127	PF04810;PF08033;PF00626;PF04815;PF04811	NA	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	G3DSA:2.30.30.380;G3DSA:1.20.120.730;G3DSA:3.40.20.10;G3DSA:2.60.40.1670;G3DSA:3.40.50.410	NA	SSF82919;SSF81995;SSF82754;SSF81811;SSF53300	NA	NA	NA	NA	NA	NA	NA
OTA01840.1	NA	NA	IPR036291	GO:0003824;GO:0050662	PF01370	NA	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
OTA05760.1	mobidb-lite	NA	IPR014612	GO:0004526;GO:0005634;GO:0008033;GO:0003676	PF12328	NA	Reactome: R-HSA-6784531	G3DSA:3.30.110.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08411.1	NA	NA	IPR001734	GO:0016020;GO:0022857;GO:0055085	PF00474	NA	NA	G3DSA:1.20.1730.10	PS50283	NA	NA	NA	NA	NA	NA	NA	NA
OTA08370.1	NA	NA	IPR023797	GO:0003824	PF01137	NA	NA	G3DSA:3.30.360.20;G3DSA:3.65.10.20	NA	SSF55205	NA	NA	NA	NA	NA	NA	NA
OTA07243.1	NA	cd15832	IPR000744	GO:0006886;GO:0005515	PF14938	NA	Reactome: R-HSA-204005|Reactome: R-HSA-6807878|Reactome: R-HSA-6811434|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	G3DSA:1.25.40.10	NA	SSF48452	NA	Coil	NA	PR00448	NA	NA	NA
OTA08036.1	mobidb-lite	NA	IPR018247	GO:0005509	PF13405	SM00054	NA	G3DSA:1.10.238.10	PS50222	SSF47473	PS00018	NA	NA	NA	NA	NA	NA
OTA06791.1	mobidb-lite	NA	IPR013226	NA	PF08316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04221.1	mobidb-lite	NA	IPR004837	GO:0016021;GO:0055085	PF01699	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04662.1	mobidb-lite	NA	IPR002076	GO:0016021	PF01151	NA	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7035|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|MetaCyc: PWY-8041|Reactome: R-HSA-75876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05778.1	mobidb-lite	cd00195	IPR023313		PF00179	SM00212	MetaCyc: PWY-7511|Reactome: R-HSA-983168	G3DSA:3.10.110.10	PS50127	SSF54495	PS00183	NA	NA	NA	NA	NA	NA
OTA06883.1	mobidb-lite	NA	IPR007111	NA	PF05729;PF17100	NA	NA	G3DSA:3.40.50.300	PS50837	SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA03390.1	NA	NA	IPR000573	GO:0003994;GO:0006099;GO:0051539	PF00694;PF00330	NA	KEGG: 00290+4.2.1.33	G3DSA:3.30.499.10;G3DSA:3.30.499.20;G3DSA:3.20.19.10	NA	SSF53732;SSF52016	PS01244;PS00450	NA	NA	PR00415	TIGR01340	NA	NA
OTA03449.1	NA	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	NA	NA	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	PR00465	NA	NA	NA
OTA03789.1	mobidb-lite	NA	IPR009348		PF06218	NA	Reactome: R-HSA-9639288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00736.1	NA	cd17356	IPR005828	GO:0016021;GO:0022857;GO:0055085	PF00083	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA04674.1	mobidb-lite	NA	IPR000905	GO:0002949;GO:0004222	PF00814	NA	Reactome: R-HSA-6782315	G3DSA:3.30.420.40	NA	SSF53067	PS01016	NA	NA	NA	NA	NA	MF_01445
OTA01723.1	mobidb-lite	cd00038;cd07227	IPR018490	GO:0006629	PF01734;PF00027	SM00100	NA	G3DSA:3.40.1090.10;G3DSA:2.60.120.10	PS50042;PS51635	SSF51206;SSF52151	NA	Coil	NA	NA	NA	NA	NA
OTA02676.1	NA	cd17356	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PF00083	NA	Reactome: R-HSA-189200	G3DSA:1.20.1250.20	PS50850	SSF103473	PS00217;PS00216	NA	NA	PR00171	NA	NA	NA
OTA04460.1	mobidb-lite	cd16454	IPR013083	NA	PF13639	SM00184	NA	G3DSA:3.30.40.10	PS50089	SSF57850	NA	NA	NA	NA	NA	NA	NA
OTA04023.1	NA	NA	IPR018815	NA	PF10311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05115.1	mobidb-lite	NA	IPR009071	NA	PF00505	SM00398	NA	G3DSA:1.10.30.10	PS50118	SSF47095	NA	Coil	NA	NA	NA	NA	NA
OTA06434.1	mobidb-lite	cd03390	IPR000326	NA	PF01569	NA	NA	NA	NA	SSF48317	NA	NA	NA	NA	NA	NA	NA
OTA06516.1	NA	NA	IPR007512	GO:0005743;GO:0061617	PF04418	NA	Reactome: R-HSA-8949613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00029.1	mobidb-lite	NA	IPR018306	NA	PF10544	SM00974	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00481.1	mobidb-lite	cd02867	IPR014780	GO:0001522;GO:0003723;GO:0009451;GO:0009982;GO:0006396	PF01509	NA	NA	G3DSA:3.30.2350.10	NA	SSF55120	NA	Coil	NA	NA	NA	NA	MF_01080
OTA06898.1	mobidb-lite	NA	IPR027417	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA08710.1	mobidb-lite	NA	IPR029058	NA	PF10329	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
OTA00394.1	NA	cd05233	IPR036291	GO:0016491	PF13561	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	PS00061	NA	NA	PR00080;PR00081	NA	NA	NA
OTA04936.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03023.1	mobidb-lite	cd00060	IPR000253	GO:0005515	PF00498	SM00240	NA	G3DSA:2.60.200.20	PS50006	SSF49879	NA	Coil	NA	NA	NA	NA	NA
OTA03578.1	mobidb-lite	NA	IPR007783	GO:0003743;GO:0005737;GO:0005852	PF05091	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	Coil	PIRSF016281	NA	NA	NA	MF_03003
OTA07955.1	mobidb-lite	cd12243	IPR012677	GO:0003676	PF00076	SM00360	NA	G3DSA:3.30.70.330	PS50102	SSF54928	NA	NA	NA	NA	NA	NA	NA
OTA08825.1	NA	NA	IPR040442	GO:0003824	PF03328	NA	NA	G3DSA:3.20.20.60	NA	SSF51621	NA	NA	PIRSF015582	NA	NA	NA	NA
OTA07546.1	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.160.20	NA	SSF54768	NA	NA	NA	NA	NA	NA	NA
OSZ99898.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03144.1	mobidb-lite	NA	IPR018860	GO:0005680;GO:0030071;GO:0031145	PF10471	NA	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01177.1	NA	cd05259	IPR036291		PF05368	NA	Reactome: R-HSA-70635	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
OTA06920.1	mobidb-lite	cd14879	IPR036037	GO:0003774;GO:0005524;GO:0016459	PF00173;PF00063;PF08766;PF03142	SM01117;SM00242	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	PS51456;PS50255	SSF52540;SSF55856;SSF109715;SSF53448	NA	NA	NA	NA	NA	NA	NA
OTA04522.1	mobidb-lite	NA	IPR033121	NA	PF00026	NA	NA	G3DSA:2.40.70.10	PS51767	SSF50630	NA	NA	NA	NA	NA	NA	NA
OTA07979.1	mobidb-lite	cd02440	IPR001737	GO:0000154;GO:0000179;GO:0008649;GO:0006364	PF00398	SM00650	NA	G3DSA:1.10.8.480;G3DSA:3.40.50.150	PS51689	SSF53335	NA	NA	NA	NA	TIGR00755	NA	NA
OTA02539.1	NA	cd13952	IPR000832	GO:0004930;GO:0007186;GO:0016021;GO:0004888;GO:0007166	PF00002	NA	NA	G3DSA:1.20.1070.10	PS50261	SSF81321	NA	NA	NA	NA	NA	NA	NA
OTA07412.1	NA	cd01727	IPR010920	GO:0000398;GO:0005688;GO:0046540	PF01423	SM00651	Reactome: R-HSA-72163	G3DSA:2.30.30.100	NA	SSF50182	NA	NA	NA	NA	NA	NA	NA
OTA05390.1	NA	cd08190	IPR001670	GO:0016491;GO:0046872;GO:0055114	PF00465	NA	Reactome: R-HSA-880009	G3DSA:3.40.50.1970;G3DSA:1.20.1090.10	NA	SSF56796	NA	NA	NA	NA	NA	NA	NA
OTA05987.1	NA	cd00200	IPR020472	GO:0005515	PF00400	SM00320	NA	G3DSA:2.130.10.10	PS50294;PS50082	SSF50978	PS00678	NA	NA	PR00320	NA	NA	NA
OTA07717.1	NA	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	NA	NA	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	PR00385;PR00463	NA	NA	NA
OTA05832.1	NA	NA	IPR017476	GO:0016616;GO:0055114;GO:0000271;GO:0003979;GO:0051287	PF00984;PF03721;PF03720	SM00984	Reactome: R-HSA-173599	G3DSA:1.20.5.100;G3DSA:3.40.50.720	NA	SSF52413;SSF51735;SSF48179	NA	NA	PIRSF000124;PIRSF500134	NA	TIGR03026	NA	NA
OTA06350.1	NA	cd05259	IPR036291		PF05368	NA	Reactome: R-HSA-70635	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
OTA07453.1	NA	NA	IPR000073	NA	PF12697	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
OTA04950.1	NA	cd07106	IPR016161	GO:0016491;GO:0055114;GO:0016620	PF00171	NA	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	SSF53720	PS00687	NA	NA	NA	NA	NA	NA
OTA08228.1	mobidb-lite	cd17502	IPR011701	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA08649.1	NA	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01985.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01348.1	NA	NA	IPR025207	GO:0031511	PF13093	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA05590.1	mobidb-lite	cd02509	IPR029044	GO:0009058;GO:0016779	PF00483	NA	NA	G3DSA:3.90.550.10	NA	SSF53448;SSF159283	NA	Coil	NA	NA	NA	NA	NA
OTA04457.1	mobidb-lite	cd04193	IPR002618	GO:0070569	PF01704	NA	NA	G3DSA:3.90.550.10;G3DSA:3.40.1630.20	NA	SSF53448	NA	NA	NA	NA	NA	NA	NA
OTA02170.1	mobidb-lite	NA	IPR012387	GO:0003972;GO:0005524;GO:0006388;GO:0008081;GO:0051730	PF08302;PF09511;PF08303	NA	NA	G3DSA:3.40.50.300	NA	SSF52540	NA	Coil	PIRSF019634	NA	NA	NA	NA
OTA06783.1	mobidb-lite	NA	IPR001680	GO:0005515	PF00400	SM00320	NA	G3DSA:2.130.10.10	PS50294;PS50082	SSF50978	PS00678	Coil	NA	NA	NA	NA	NA
OTA00417.1	mobidb-lite	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	PF13520	NA	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
OTA01591.1	mobidb-lite	NA	IPR012578	NA	PF08058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01829.1	mobidb-lite	cd06503;cd12257	IPR000504	GO:0003676;GO:0006397;GO:0046872	PF01480;PF00076	SM00360	NA	G3DSA:3.30.70.330	PS50102;PS50103	SSF54928	NA	Coil	NA	NA	NA	NA	NA
OTA08765.1	NA	NA	IPR031488	GO:0005515	PF17034	NA	Reactome: R-HSA-9639288	G3DSA:2.130.10.10	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA
OTA01207.1	NA	cd01095	IPR016215	GO:0004497;GO:0016705;GO:0055114	PF00296	NA	NA	G3DSA:3.20.20.30	NA	SSF51679	NA	NA	PIRSF000337	NA	TIGR03860	NA	NA
OTA04451.1	mobidb-lite	cd02440	IPR029063	NA	PF13489	NA	NA	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
OTA01526.1	mobidb-lite	cd09395;cd00159;cd09394	IPR008936	GO:0007165	PF00412;PF00620	SM00324;SM00132	Reactome: R-HSA-194840	G3DSA:1.10.555.10;G3DSA:2.10.110.10	PS50238;PS50023	SSF48350	PS00478	Coil	NA	NA	NA	NA	NA
OTA03453.1	mobidb-lite	cd00174;cd07651	IPR036028	GO:0005515	PF00018;PF00611	SM00055;SM00326	NA	G3DSA:2.30.30.40;G3DSA:1.20.1270.60	PS50002;PS51741	SSF50044;SSF103657	NA	Coil	NA	PR00452	NA	NA	NA
OTA04806.1	NA	NA	IPR004217		PF02953	NA	Reactome: R-HSA-1268020	G3DSA:1.10.287.810	NA	SSF144122	NA	NA	NA	NA	NA	NA	NA
OTA01562.1	NA	NA	IPR016024	NA	PF08609	NA	NA	G3DSA:1.25.10.10	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA
OTA07494.1	NA	NA	IPR042098	GO:0016491;GO:0055114	PF02668	NA	Reactome: R-HSA-71262	G3DSA:3.60.130.10	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA
OTA03571.1	NA	NA	IPR001377	GO:0003735;GO:0005840;GO:0006412	PF01092	SM01405	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-166208|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	PS00578	Coil	PIRSF002129	NA	NA	NA	NA
OTA02958.1	mobidb-lite	NA	IPR013226	NA	PF08316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06058.1	mobidb-lite	NA	IPR011989	GO:0015031;GO:0030276;GO:0006886;GO:0016192;GO:0030117	PF01602	NA	NA	G3DSA:1.25.10.10	NA	SSF48371	NA	NA	PIRSF002291	NA	NA	NA	NA
OTA08661.1	NA	NA	IPR036663	GO:0003824	PF01557	NA	NA	G3DSA:3.90.850.10	NA	SSF56529	NA	NA	NA	NA	NA	NA	NA
OTA03242.1	mobidb-lite	cd14943	IPR016696	GO:0030008;GO:0048193	PF04051	NA	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	G3DSA:3.30.1380.20	NA	SSF111126	NA	NA	PIRSF017479	NA	NA	NA	NA
OTA00953.1	mobidb-lite	cd01530	IPR000751	GO:0004725;GO:0006470;GO:1902751	PF00581	SM00450	Reactome: R-HSA-69273|Reactome: R-HSA-8862803	G3DSA:3.40.250.10	PS50206	SSF52821	NA	NA	NA	PR00716	NA	NA	NA
OTA05268.1	mobidb-lite	NA	IPR031313		PF16979;PF16978	NA	Reactome: R-HSA-1257604|Reactome: R-HSA-389357|Reactome: R-HSA-5218920|Reactome: R-HSA-5674400|Reactome: R-HSA-6804757	G3DSA:2.30.29.30	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08373.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01612.1	mobidb-lite	NA	IPR001680	GO:0005515	NA	SM00320	NA	G3DSA:2.130.10.10	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA
