Gene	interpro	Gene3D	SUPERFAMILY	Pfam	PRINTS	MobiDBLite	Coils	CDD	GO	PATHWAY	ProSitePatterns	SMART	ProSiteProfiles	PIRSF	TIGRFAM	Hamap	SFLD
PTB65216.1	IPR006121	G3DSA:3.30.70.100;G3DSA:2.60.40.200	SSF49329;SSF55008	PF00403;PF00080	NA	NA	NA	cd00371	GO:0030001;GO:0046872;GO:0006801	MetaCyc: PWY-6854|Reactome: R-HSA-3299685	NA	NA	PS50846	NA	NA	NA	NA
PTB66451.1	IPR027417	G3DSA:3.40.50.300	SSF52540	PF06472;PF00005	NA	NA	Coil	cd03223	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	NA	SM00382	PS50893	NA	NA	NA	NA
PTB69163.1	IPR000184	G3DSA:2.40.160.50	NA	PF01103	NA	NA	NA	NA	GO:0019867	Reactome: R-HSA-1268020|Reactome: R-HSA-8949613	NA	NA	NA	NA	NA	NA	NA
PTB68589.1	IPR036554	G3DSA:3.30.70.890;G3DSA:3.30.230.10	SSF55060;SSF54211	PF00288	PR00958	NA	NA	NA	GO:0004413;GO:0005524;GO:0006566	KEGG: 00260+2.7.1.39|MetaCyc: PWY-702	PS00627	NA	NA	PIRSF000676	TIGR00191	MF_00384	NA
PTB70437.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67037.1	IPR019193	NA	NA	PF09814	NA	NA	NA	NA		Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
PTB68162.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PS51808	NA	NA	NA	NA
PTB61509.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69193.1	IPR004345	NA	NA	PF03134	NA	mobidb-lite	Coil	NA		Reactome: R-HSA-381753	NA	NA	NA	NA	NA	NA	NA
PTB65199.1	IPR011990	G3DSA:3.40.50.300	SSF48452;SSF52540	PF05729	NA	mobidb-lite	NA	NA	GO:0005515	NA	NA	NA	PS50837	NA	NA	NA	NA
PTB62287.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63922.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61598.1	IPR006140	G3DSA:3.40.50.720	SSF51735	PF02826	NA	NA	NA	cd12163	GO:0051287;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA
PTB62346.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67691.1	IPR000731	G3DSA:3.90.770.10;G3DSA:3.30.70.420;G3DSA:1.10.3270.10	SSF56542;SSF55035	PF12349;PF13323;PF00368	PR00071	mobidb-lite	NA	cd00643	GO:0004420;GO:0055114;GO:0015936;GO:0050662;GO:0005515;GO:0008299;GO:0016616	KEGG: 00900+1.1.1.34|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	PS00318;PS01192;PS00066	NA	PS50065;PS50156	NA	TIGR00533	NA	NA
PTB66383.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65154.1	IPR000156	G3DSA:2.30.29.30	SSF50729	PF00638	NA	mobidb-lite	Coil	cd13179	GO:0046907	NA	NA	SM00160	PS50196	NA	NA	NA	NA
PTB64319.1	IPR032717	NA	SSF144232	PF13824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62374.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61991.1	IPR001936	G3DSA:1.10.506.10	SSF48350;SSF143885	PF00616;PF03836	NA	NA	Coil	cd05132	GO:0043087;GO:0005515;GO:0007165	Reactome: R-HSA-5626467	PS00509	SM00323	PS50018	NA	NA	NA	NA
PTB67867.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66754.1	IPR032805	NA	NA	PF13813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62805.1	IPR005595	NA	NA	PF03896	NA	mobidb-lite	NA	NA	GO:0005789	Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	NA	NA	NA	NA	NA
PTB62829.1	IPR008974	G3DSA:2.60.210.10;G3DSA:3.10.20.90;G3DSA:3.90.70.10	SSF49599;SSF54001	PF00443;PF00917;PF12436;PF14533	NA	NA	Coil	cd02659;cd03775	GO:0005515;GO:0016579;GO:0036459;GO:0006511	Reactome: R-HSA-5689880|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804757|Reactome: R-HSA-8866652|Reactome: R-HSA-8948747	PS00973;PS00972	SM00061	PS50144;PS50235	NA	NA	NA	NA
PTB69741.1	IPR021840	NA	NA	PF11915	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64110.1	IPR036396	G3DSA:1.10.630.10	SSF48264	PF00067	PR00463;PR00385	NA	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PS00086	NA	NA	NA	NA	NA	NA
PTB70720.1	IPR013931	NA	SSF159245	PF08622;PF17187	NA	NA	NA	NA	GO:0006979	NA	NA	NA	NA	NA	NA	NA	NA
PTB70482.1	IPR005874	G3DSA:3.30.780.10	SSF55159	PF01253	NA	NA	NA	cd11566	GO:0003743;GO:0006413	NA	NA	NA	PS50296	PIRSF004499	NA	NA	NA
PTB70362.1	IPR001525	G3DSA:3.90.120.10;G3DSA:3.40.50.150	SSF53335	PF00145	NA	mobidb-lite	NA	NA	GO:0008168	KEGG: 00270+2.1.1.37	NA	NA	PS51679	NA	NA	NA	NA
PTB63870.1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64592.1	IPR001128	G3DSA:1.10.630.10	SSF48264	PF00067	PR00465	NA	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	PS00086	NA	NA	NA	NA	NA	NA
PTB62852.1	IPR001138	NA	NA	NA	NA	mobidb-lite	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SM00066	PS50048	NA	NA	NA	NA
PTB67140.1	IPR015418	NA	NA	PF09340	NA	mobidb-lite	Coil	NA	GO:0000123;GO:0016573	Reactome: R-HSA-3214847|Reactome: R-HSA-6804758	NA	NA	NA	NA	NA	NA	NA
PTB64002.1	IPR002642	G3DSA:3.40.1090.10	SSF52151	PF01735	NA	mobidb-lite	Coil	cd00147	GO:0004620;GO:0009395	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	NA	SM00022	PS51210	NA	NA	NA	NA
PTB68171.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69124.1	IPR000704	G3DSA:2.20.25.20;G3DSA:1.10.1820.10	SSF57798	PF01214	PR00472	mobidb-lite	NA	NA	GO:0005956;GO:0019887	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	PS01101	SM01085	NA	NA	NA	NA	NA
PTB64782.1	IPR005352	NA	NA	PF03694	NA	NA	NA	NA	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA
PTB61398.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64764.1	IPR001765	G3DSA:3.40.1050.10	SSF53056	PF00484	NA	NA	NA	cd03379	GO:0004089;GO:0008270	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	SM00947	NA	NA	NA	NA	NA
PTB62927.1	IPR001138	G3DSA:4.10.240.10	NA	PF04082	NA	mobidb-lite	Coil	cd00067;cd12148	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	NA	SM00906	NA	NA	NA	NA	NA
PTB66434.1	IPR036291	G3DSA:3.40.50.720	SSF51735	PF13561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65709.1	IPR036291	G3DSA:3.90.110.10;G3DSA:3.40.50.720	SSF51735;SSF56327	PF02866;PF00056	NA	NA	NA	cd01337	GO:0003824;GO:0005975;GO:0016616;GO:0055114;GO:0006099;GO:0030060;GO:0006108;GO:0016615;GO:0019752;GO:0016491	KEGG: 00020+1.1.1.37|KEGG: 00270+1.1.1.37|KEGG: 00620+1.1.1.37|KEGG: 00630+1.1.1.37|KEGG: 00680+1.1.1.37|KEGG: 00710+1.1.1.37|KEGG: 00720+1.1.1.37|MetaCyc: PWY-1622|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7115|MetaCyc: PWY-7383|Reactome: R-HSA-70263|Reactome: R-HSA-71403	PS00068	NA	NA	PIRSF000102	TIGR01772	NA	NA
PTB64975.1	IPR007219	NA	NA	NA	NA	mobidb-lite	NA	cd12148	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	SM00906	NA	NA	NA	NA	NA
PTB66851.1	IPR029062	G3DSA:3.40.50.880	SSF52317	PF01174	NA	NA	NA	cd01749	GO:0004359;GO:0042819;GO:0042823	KEGG: 00220+3.5.1.2|KEGG: 00250+3.5.1.2|KEGG: 00471+3.5.1.2|KEGG: 00750+4.3.3.6|MetaCyc: PWY-5921|MetaCyc: PWY-6466	PS01236	NA	PS51130	PIRSF005639	TIGR03800	MF_01615	NA
PTB70998.1	IPR002717	G3DSA:3.40.630.30;G3DSA:3.30.60.60;G3DSA:2.30.30.140;G3DSA:1.10.10.10	SSF55729;SSF54160	PF01853;PF17772;PF11717	NA	mobidb-lite	NA	cd18986;cd04301	GO:0004402;GO:0006355;GO:0016573	Reactome: R-HSA-3214847	NA	NA	PS51726	NA	NA	NA	NA
PTB68115.1	IPR020558	G3DSA:3.50.30.80	SSF52016;SSF143975	PF00920	NA	NA	Coil	NA	GO:0003824	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111	PS00886	NA	NA	NA	NA	NA	NA
PTB69155.1	IPR020846	G3DSA:1.20.1250.20	SSF103473	PF00083	NA	NA	NA	cd17364	GO:0016021;GO:0022857;GO:0055085	NA	PS00216	NA	PS50850	NA	NA	NA	NA
PTB68580.1	IPR015412	NA	NA	PF09333;PF13329	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69209.1	IPR018108	G3DSA:1.50.40.10	SSF103506	PF00153	PR00926	NA	NA	NA	GO:0005347;GO:0055085	NA	NA	NA	PS50920	NA	NA	NA	NA
PTB63748.1	IPR007855	NA	NA	PF05183	NA	mobidb-lite	NA	NA	GO:0003968	NA	NA	NA	NA	NA	NA	NA	NA
PTB64316.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63489.1	IPR020846	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	SSF103473	PF07690	NA	mobidb-lite	NA	cd17502	GO:0055085	NA	NA	NA	PS50850	NA	NA	NA	NA
PTB65326.1	IPR001567	NA	SSF55486	PF01432	NA	NA	Coil	cd06457	GO:0004222;GO:0006508	NA	NA	NA	NA	NA	NA	NA	NA
PTB69325.1	IPR038566	G3DSA:3.10.450.580	NA	PF04934	NA	mobidb-lite	NA	NA	GO:0003712;GO:0006357;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA
PTB63012.1	IPR003593	G3DSA:3.40.50.300	SSF52540	PF00004	NA	mobidb-lite	NA	cd00009	GO:0005524	NA	NA	SM00382	NA	NA	NA	NA	NA
PTB61989.1	IPR013083	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	SSF57850	PF01485	NA	mobidb-lite	NA	cd16625	NA	NA	PS00518	SM00647;SM00184	PS50089;PS51873	NA	NA	NA	NA
PTB65379.1	IPR000760	G3DSA:3.40.190.80;G3DSA:3.30.540.10	SSF56655	PF00459	NA	mobidb-lite	NA	NA	GO:0046855	NA	PS00629	NA	NA	NA	NA	NA	NA
PTB64257.1	IPR015195	G3DSA:1.10.1040.30;G3DSA:1.10.10.60;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	SSF52540;SSF46689;SSF101224	PF09111;PF00271;PF09110;PF00176	NA	mobidb-lite	Coil	cd17997;cd18793;cd00167	GO:0003676;GO:0005524;GO:0005634;GO:0006338;GO:0016818;GO:0031491;GO:0043044;GO:0003677	NA	NA	SM00717;SM00487;SM00490	PS51293;PS51192;PS51194	NA	NA	NA	NA
PTB61528.1	IPR001202	G3DSA:2.20.70.10	SSF51045	PF00397	NA	mobidb-lite	NA	cd00201	GO:0005515	NA	PS01159	SM00456	PS50020	NA	NA	NA	NA
PTB70611.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66455.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70648.1	IPR009000	G3DSA:3.40.50.300;G3DSA:3.30.70.870;G3DSA:2.40.30.10	SSF50447;SSF52540;SSF54980	PF14492;PF00679;PF00009	NA	NA	NA	cd03713	GO:0005525;GO:0003924	NA	PS00301	SM00838	PS51722	NA	TIGR00231	NA	NA
PTB70883.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64594.1	IPR003010	G3DSA:3.60.110.10	SSF56317	PF00795	NA	NA	NA	cd07197	GO:0006807	NA	NA	NA	PS50263	NA	NA	NA	NA
PTB69621.1	IPR007220	NA	NA	PF04084	NA	mobidb-lite	NA	NA	GO:0000808;GO:0005634;GO:0006260	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA
PTB65641.1	IPR004023	G3DSA:3.30.1560.10	SSF89817	PF02792	NA	NA	NA	cd11295	GO:0008380;GO:0035145;GO:0005634	Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856|Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA
PTB64675.1	IPR003439	G3DSA:3.40.50.300	SSF52540	PF12698;PF00005	NA	NA	NA	cd03263	GO:0005524;GO:0016887	NA	PS00211	SM00382	PS50893	NA	NA	NA	NA
PTB71028.1	IPR019734	G3DSA:1.25.40.10	SSF48452	PF13181	NA	mobidb-lite	NA	NA	GO:0005515;GO:0006396	NA	NA	SM00386	NA	NA	NA	NA	NA
PTB61938.1	IPR000182	G3DSA:3.40.630.30	SSF55729	PF13302	NA	NA	NA	cd04301	GO:0008080	NA	NA	NA	NA	NA	NA	NA	NA
PTB64552.1	IPR011042	G3DSA:2.120.10.30	SSF50952	NA	NA	NA	NA	NA	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA
PTB65671.1	IPR026591	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	SSF52467	PF02146	NA	mobidb-lite	NA	NA	GO:0070403	NA	NA	NA	PS50305	NA	NA	NA	NA
PTB65227.1	IPR012385	G3DSA:3.40.50.720;G3DSA:1.10.3660.10	SSF48179;SSF51735	PF02153	NA	NA	NA	NA	GO:0055114;GO:0004665;GO:0006571;GO:0008977	KEGG: 00400+1.3.1.13	NA	NA	PS51176	PIRSF036510	NA	NA	NA
PTB64221.1	IPR036629	NA	SSF69047	PF05532	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67759.1	IPR036961	G3DSA:3.40.850.10	SSF52540	PF00225	PR00380	mobidb-lite	NA	cd01370	GO:0003777;GO:0005524;GO:0007018;GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS00411	SM00129	PS50067	NA	NA	NA	NA
PTB69082.1	IPR012943	NA	NA	PF07989;PF12808	NA	mobidb-lite	Coil	NA	GO:0005815	NA	NA	NA	NA	NA	NA	NA	NA
PTB62595.1	IPR012341	G3DSA:1.50.10.10	SSF48208	PF01204	PR00744	NA	NA	NA	GO:0003824;GO:0004555;GO:0005991	KEGG: 00500+3.2.1.28|Reactome: R-HSA-189085	PS00928	NA	NA	NA	NA	NA	NA
PTB65646.1	IPR027417	G3DSA:3.40.50.300	SSF52540	PF08302;PF09511;PF08303	NA	mobidb-lite	Coil	NA	GO:0003972;GO:0005524;GO:0006388;GO:0008081;GO:0051730	NA	NA	NA	NA	PIRSF019634	NA	NA	NA
PTB68985.1	IPR021643	NA	NA	PF11597;PF06333	NA	mobidb-lite	Coil	NA	GO:0003712;GO:0006357;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA
PTB66013.1	IPR036291	G3DSA:3.40.50.720	SSF51735	PF00106	PR00081	NA	NA	NA	GO:0016491	NA	PS00061	SM00822	NA	NA	NA	NA	NA
PTB67212.1	IPR036249	G3DSA:3.40.30.10	NA	PF04756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70531.1	IPR036305	NA	SSF48097	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64597.1	IPR015310	G3DSA:3.15.10.20;G3DSA:3.30.530.20	SSF103111;SSF55961	PF09229;PF08327	NA	mobidb-lite	NA	cd08892	GO:0001671;GO:0051087	NA	NA	SM01000	NA	NA	NA	NA	NA
PTB63279.1	IPR029018	G3DSA:3.30.379.10;G3DSA:3.20.20.80;G3DSA:1.20.120.670	SSF51445	PF12971;PF05089;PF12972	NA	NA	NA	NA		KEGG: 00531+3.2.1.50|Reactome: R-HSA-2024096|Reactome: R-HSA-2206282	NA	NA	NA	NA	NA	NA	NA
PTB64750.1	IPR013251	NA	NA	PF08287	NA	mobidb-lite	Coil	NA	GO:0005876;GO:0008608;GO:0042729	NA	NA	NA	NA	NA	NA	NA	NA
PTB69819.1	IPR036424	G3DSA:3.40.1180.10	SSF64005	PF01255	NA	NA	NA	NA	GO:0016765	Reactome: R-HSA-446199|Reactome: R-HSA-4755609	NA	NA	NA	NA	NA	NA	NA
PTB65604.1	IPR012816	G3DSA:1.10.357.40	SSF143990	PF08719	NA	NA	NA	cd15457	NA	NA	NA	NA	NA	NA	TIGR02464	NA	NA
PTB69441.1	IPR031348	NA	NA	PF17111	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64115.1	IPR022669	G3DSA:2.30.30.30;G3DSA:2.40.50.140;G3DSA:4.10.950.10	SSF50104;SSF50249	PF03947;PF00181	NA	mobidb-lite	NA	NA	GO:0003735;GO:0005840;GO:0006412;GO:0003723;GO:0015934;GO:0016740	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00467	SM01383;SM01382	NA	NA	TIGR01171	NA	NA
PTB64701.1	IPR005037	NA	NA	PF03371	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65015.1	IPR036812	G3DSA:3.20.20.100	SSF51430	PF00248	PR00069	NA	NA	cd06660	GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA
PTB68642.1	IPR011498	G3DSA:2.120.10.80	SSF117281	PF13415;PF07646	NA	mobidb-lite	NA	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA
PTB63991.1	IPR000245	G3DSA:1.20.120.610	SSF81333	PF00137	PR00122	NA	NA	cd18178;cd18177	GO:0015078;GO:0033179;GO:1902600;GO:0033177	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	NA	NA	NA	NA	NA
PTB69798.1	IPR001736	G3DSA:3.30.870.10	SSF56024	PF00787;PF00614	NA	mobidb-lite	NA	cd09141;cd01254;cd09138	GO:0003824;GO:0004630;GO:0006654;GO:0048017;GO:0035091	Reactome: R-HSA-1483148	NA	SM00155	PS50035	PIRSF009376	NA	NA	NA
PTB70660.1	IPR013714	NA	NA	PF08507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61982.1	IPR031925	G3DSA:2.160.20.70;G3DSA:1.20.58.1250	NA	PF16752;PF07986	NA	mobidb-lite	Coil	NA	GO:0015631;GO:0000902	Reactome: R-HSA-389977	NA	SM00673	PS51329	NA	NA	NA	NA
PTB66078.1	NA	NA	NA	NA	NA	mobidb-lite	NA	cd18724	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65381.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67052.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF00106	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68894.1	IPR000626	G3DSA:3.10.20.90	SSF54236	PF00240	PR00348	NA	NA	cd01803	GO:0005515	NA	PS00299	SM00213	PS50053	NA	NA	NA	NA
PTB70616.1	IPR036259	NA	SSF103473	PF07690	NA	mobidb-lite	NA	cd17330	GO:0055085	NA	NA	NA	PS50850	NA	NA	NA	NA
PTB70701.1	IPR002905	G3DSA:3.30.56.70;G3DSA:3.40.50.150	SSF53335	PF02005	NA	mobidb-lite	NA	NA	GO:0003723;GO:0004809;GO:0008033	MetaCyc: PWY-6829	NA	NA	PS51626	NA	NA	NA	NA
PTB64006.1	IPR023173	G3DSA:1.20.990.10;G3DSA:1.10.630.10;G3DSA:3.40.50.80;G3DSA:3.40.50.360;G3DSA:2.40.30.10	SSF52343;SSF63380;SSF52218;SSF48264	PF00258;PF00067;PF00175;PF00667	PR00385;PR00463	mobidb-lite	NA	cd06206	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0020037;GO:0010181;GO:0003958;GO:0070330	KEGG: 00071+1.14.14.1|KEGG: 00140+1.14.14.1|KEGG: 00232+1.14.14.1|KEGG: 00380+1.14.14.1|KEGG: 00590+1.14.14.1|KEGG: 00591+1.14.14.1|KEGG: 00627+1.14.14.1|KEGG: 00830+1.14.14.1|KEGG: 00980+1.14.14.1|KEGG: 00982+1.14.14.1|MetaCyc: PWY-5451|MetaCyc: PWY-5665|MetaCyc: PWY-6398|MetaCyc: PWY-6992|MetaCyc: PWY-7466|MetaCyc: PWY-7826	PS00086	NA	PS51384;PS50902	PIRSF000209	NA	NA	NA
PTB63695.1	IPR036322	G3DSA:2.130.10.10	SSF50978	NA	NA	mobidb-lite	Coil	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA
PTB65570.1	IPR000246	G3DSA:3.60.20.30	SSF56235	PF01112	NA	NA	NA	cd04513	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA
PTB67477.1	IPR005112	G3DSA:3.40.50.11500	SSF57889	PF03455;PF03456;PF02141	NA	mobidb-lite	Coil	NA	GO:0035556	Reactome: R-HSA-8876198	NA	SM00801;SM00799;SM00109;SM00800	PS50081;PS50211	NA	NA	NA	NA
PTB68932.1	IPR038425	G3DSA:1.20.58.160;G3DSA:1.25.40.90	SSF48464;SSF89009	PF00790	NA	mobidb-lite	NA	cd14232;cd16980	GO:0006886	NA	NA	SM00288	PS50909;PS50179	NA	NA	NA	NA
PTB64674.1	IPR008427	NA	NA	PF05730	NA	mobidb-lite	NA	NA	NA	NA	NA	SM00747	NA	NA	NA	NA	NA
PTB64778.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65872.1	IPR018824	NA	NA	PF10346	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62793.1	IPR001810	G3DSA:1.20.1280.50	SSF81383	PF12937;PF07393	NA	mobidb-lite	NA	NA	GO:0005515;GO:0005737;GO:0006887;GO:0048278	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	SM00256	PS50181	NA	NA	NA	NA
PTB69339.1	IPR011051	G3DSA:2.60.120.10	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64914.1	IPR036322	G3DSA:2.130.10.10;G3DSA:1.25.40.470	SSF50978	PF04053;PF00400	PR00320	NA	NA	cd00200	GO:0005515;GO:0005198;GO:0006886;GO:0016192;GO:0030117	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	SM00320	PS50082;PS50294	PIRSF005567	NA	NA	NA
PTB66003.1	IPR036052	G3DSA:3.40.50.1100;G3DSA:3.40.1020.10	SSF53686;SSF55021	PF00585;PF00291	NA	mobidb-lite	NA	cd04906;cd04907	GO:0006520;GO:0030170	KEGG: 00260+4.3.1.19|KEGG: 00290+4.3.1.19	PS00165	NA	PS51672	NA	NA	NA	NA
PTB67879.1	IPR017907	G3DSA:3.30.40.10	SSF57850	PF13920	NA	mobidb-lite	NA	NA	NA	NA	PS00518	SM00184	PS50089	NA	NA	NA	NA
PTB66331.1	IPR011990	G3DSA:1.25.40.10	NA	NA	NA	mobidb-lite	Coil	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA
PTB63640.1	IPR001128	G3DSA:1.10.630.10	SSF48264	PF00067	PR00385;PR00463	NA	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PS00086	NA	NA	NA	NA	NA	NA
PTB65546.1	IPR000649	G3DSA:3.40.50.10470;G3DSA:3.90.79.10	SSF100950;SSF55811	PF01008;PF00293	NA	NA	NA	cd04664	GO:0044237;GO:0016787	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	NA	PS51462	NA	NA	NA	NA
PTB69391.1	IPR036514	G3DSA:3.40.50.1110	SSF52266	PF00657	NA	NA	NA	NA	GO:0016788	NA	NA	NA	NA	NA	NA	NA	NA
PTB68033.1	IPR023398	G3DSA:3.30.760.10	SSF55418	PF01652	NA	mobidb-lite	NA	NA	GO:0003723;GO:0003743;GO:0005737;GO:0006413	NA	PS00813	NA	NA	NA	NA	NA	NA
