Gene	interpro	GO	SUPERFAMILY	PATHWAY	SMART	Pfam	Gene3D	MobiDBLite	Coils	CDD	ProSiteProfiles	PIRSF	ProSitePatterns	PRINTS	Hamap	TIGRFAM	SFLD
PTB74973.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB80045.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76362.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81283.1	IPR013024	GO:0003839;GO:0006751	NA	KEGG: 00480+4.3.2.7|MetaCyc: PWY-7942|Reactome: R-HSA-174403	NA	PF04752	G3DSA:3.10.490.10	mobidb-lite	NA	cd06661	NA	NA	NA	NA	NA	NA	NA
PTB73592.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79167.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81716.1	IPR018220	GO:0005525;GO:0004019;GO:0006164	SSF52540	KEGG: 00230+6.3.4.4|KEGG: 00250+6.3.4.4|MetaCyc: PWY-7219|Reactome: R-HSA-73817	SM00788	PF00709	G3DSA:1.10.300.10;G3DSA:3.40.440.10;G3DSA:3.90.170.10	NA	NA	cd03108	NA	NA	PS01266;PS00513	NA	MF_00011	TIGR00184	NA
PTB75043.1	IPR029021	GO:0008138;GO:0016311;GO:0006470	SSF52799	NA	SM00195	PF00782	NA	mobidb-lite	NA	cd14518	PS50054	NA	NA	NA	NA	NA	NA
PTB72584.1	IPR029164		NA	Reactome: R-HSA-162710	NA	PF15159	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74137.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78033.1	IPR036259	NA	SSF103473	NA	NA	NA	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17394	NA	NA	NA	NA	NA	NA	NA
PTB80186.1	IPR001349	GO:0004129;GO:0005743;GO:0005751	SSF81411	NA	NA	PF02046	G3DSA:4.10.95.10	NA	NA	NA	NA	PIRSF000277	PS01329	NA	NA	NA	NA
PTB77693.1	IPR027443	NA	SSF51197	NA	NA	PF07350	G3DSA:2.60.120.330	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71145.1	IPR018077	GO:0003796;GO:0009253;GO:0016998	SSF51445	NA	SM00641	PF01183	G3DSA:3.20.20.80	NA	NA	cd06412	NA	NA	NA	NA	NA	NA	NA
PTB74379.1	IPR011990	GO:0005515;GO:0045048	NA	Reactome: R-HSA-9609523	NA	PF04190	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74549.1	IPR029184	GO:0016573	NA	NA	NA	PF15460	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB76306.1	IPR018815	NA	NA	NA	NA	PF10311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81650.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78321.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80306.1	IPR010729	GO:0003735;GO:0005761;GO:0006412	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	PF06984	G3DSA:1.20.1280.190	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75935.1	IPR006593	NA	NA	NA	SM00665	PF03188	G3DSA:1.20.120.1770	mobidb-lite	NA	cd08761	PS50939	NA	NA	NA	NA	NA	NA
PTB78327.1	IPR007247	GO:0000256;GO:0050385;GO:0004848	SSF55144;SSF51182	KEGG: 00230+4.3.2.3|MetaCyc: PWY-5694|MetaCyc: PWY-5705	NA	PF04115	G3DSA:2.60.120.480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76877.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79569.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79949.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	NA	NA	NA	mobidb-lite	NA	cd00067	NA	NA	NA	NA	NA	NA	NA
PTB72578.1	IPR022771		NA	Reactome: R-HSA-2467813|Reactome: R-HSA-2468052|Reactome: R-HSA-2470946|Reactome: R-HSA-2500257	NA	PF07814	G3DSA:1.25.10.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72640.1	IPR020904	GO:0016491	SSF51735	NA	NA	PF13561	G3DSA:3.40.50.720	NA	NA	cd05233	NA	NA	PS00061	PR00081;PR00080	NA	NA	NA
PTB80038.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75260.1	IPR000675	GO:0016787	SSF53474	NA	SM01110	PF01083	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76008.1	IPR013332	GO:0016491;GO:0055114	SSF48179	NA	NA	PF02558;PF08546	G3DSA:3.40.50.720;G3DSA:1.10.1040.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73264.1	IPR017986	GO:0005515	SSF50978	NA	SM00320	PF08232;PF00400	G3DSA:2.130.10.10;G3DSA:1.20.5.300	mobidb-lite	Coil	NA	PS50294;PS50082	NA	NA	PR00320	NA	NA	NA
PTB76685.1	IPR001594	GO:0016409	NA	NA	NA	PF01529	NA	mobidb-lite	NA	NA	PS50216	NA	NA	NA	NA	NA	NA
PTB80131.1	IPR035979	GO:0003676	SSF54928	NA	SM00360	PF00076	G3DSA:3.30.70.330	mobidb-lite	Coil	NA	PS50102	NA	NA	NA	NA	NA	NA
PTB74613.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB78836.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73211.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80289.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB77497.1	IPR027417	NA	SSF52540	NA	NA	PF16575	G3DSA:3.40.50.300	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71220.1	IPR004579	GO:0003684;GO:0004519;GO:0005634;GO:0006281	SSF52980;SSF47781	Reactome: R-HSA-5685938|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6783310	NA	PF03834	G3DSA:1.10.150.20;G3DSA:3.40.50.10130	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	TIGR00597	NA
PTB72367.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75018.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81487.1	IPR005349	GO:0016020	NA	NA	NA	PF03647	G3DSA:1.20.58.1140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77398.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77017.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	SM00066	PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067	PS50048	NA	PS00463	PR00755	NA	NA	NA
PTB77163.1	IPR018827	NA	NA	NA	NA	PF10355;PF10348	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77930.1	IPR035977	GO:0003735;GO:0005840;GO:0006412	SSF57840	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	PF00444	NA	NA	NA	NA	NA	NA	NA	NA	MF_00251	TIGR01022	NA
PTB81482.1	IPR016024	NA	SSF48371	NA	NA	PF04118	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB76201.1	IPR003892	GO:0005515	SSF109993;SSF46934	Reactome: R-HSA-8876198	SM00167;SM00546	PF02845;PF02204;PF18151	G3DSA:1.10.8.10;G3DSA:1.10.246.120;G3DSA:1.20.1050.80	mobidb-lite	NA	cd14369	PS51140;PS51205	NA	NA	NA	NA	NA	NA
PTB71511.1	IPR008942	NA	SSF48464	NA	SM00273	PF01417	G3DSA:1.25.40.90	mobidb-lite	Coil	cd16992	PS50942	NA	NA	NA	NA	NA	NA
PTB74237.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74502.1	IPR018860	GO:0005680;GO:0030071;GO:0031145	NA	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	PF10471	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71700.1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	SSF103473	Reactome: R-HSA-189200	NA	PF00083	G3DSA:1.20.1250.20	NA	Coil	cd17356	PS50850	NA	NA	NA	NA	TIGR00879	NA
PTB81585.1	IPR000504	GO:0003676	SSF54928	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	SM01218;SM00360	PF00076	G3DSA:3.30.70.330	mobidb-lite	NA	cd12418	PS50102	NA	NA	NA	NA	NA	NA
PTB74564.1	IPR036322	GO:0005515	SSF50978	NA	SM00320	PF00400	NA	NA	NA	NA	PS50082;PS50294	NA	PS00678	NA	NA	NA	NA
PTB77290.1	IPR009075	GO:0016627;GO:0055114;GO:0050660	SSF56645;SSF47203	NA	NA	PF00441;PF02770;PF02771	G3DSA:2.40.110.10;G3DSA:1.10.540.10;G3DSA:1.20.140.10	NA	NA	cd00567	NA	NA	NA	NA	NA	NA	NA
PTB73479.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB73599.1	IPR036879	GO:0003677;GO:0046983;GO:0000981;GO:0000987;GO:0045944	SSF55455	Reactome: R-HSA-525793	SM00432	PF00319	G3DSA:3.40.1810.10	mobidb-lite	NA	cd00266	PS50066	NA	PS00350	PR00404	NA	NA	NA
PTB74129.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80283.1	IPR042241	GO:0043015	NA	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	PF17681;PF04130	G3DSA:1.20.120.1900	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72562.1	IPR001680	GO:0005515	SSF50978	NA	SM00320	PF12894;PF00400	G3DSA:2.130.10.10	mobidb-lite	NA	cd00200	PS50082;PS50294	NA	NA	NA	NA	NA	NA
PTB76274.1	IPR015408	GO:0005634;GO:0006260	NA	Reactome: R-HSA-176187|Reactome: R-HSA-68962	NA	PF09329	G3DSA:2.40.50.140	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB77916.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA
PTB80561.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78721.1	IPR036812	GO:0016491;GO:0055114	SSF51430	NA	NA	PF00248	G3DSA:3.20.20.100	NA	NA	cd06660	NA	PIRSF000097	PS00062;PS00798	PR00069	NA	NA	NA
PTB73683.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73963.1	IPR008253	GO:0016020	NA	NA	NA	PF01284	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77779.1	IPR031329		NA	KEGG: 00600+3.5.1.23|MetaCyc: PWY-6483|MetaCyc: PWY-7119|Reactome: R-HSA-1660662	NA	PF04734;PF17048	G3DSA:2.60.40.2300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73653.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78568.1	IPR001357	NA	SSF52113	NA	SM00292	PF00533	G3DSA:3.40.50.10190	mobidb-lite	NA	cd17745	PS50172	NA	NA	NA	NA	NA	NA
PTB74788.1	IPR000163	GO:0016020	SSF117892	Reactome: R-HSA-8949664	SM00244	PF01145	NA	NA	Coil	cd03401	NA	NA	NA	PR00679	NA	NA	NA
PTB73877.1	IPR006680	GO:0016787	SSF51556	NA	NA	PF04909	G3DSA:3.20.20.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81726.1	IPR001757	GO:0016021;GO:0000166;GO:0005388;GO:0005524;GO:0016020;GO:0070588	SSF56784;SSF81653;SSF81665;SSF81660	Reactome: R-HSA-936837	SM00831	PF00690;PF00122;PF13246;PF00689	G3DSA:2.70.150.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:1.20.1110.10	mobidb-lite	NA	cd02081	NA	NA	PS00154	PR00121;PR00119	NA	TIGR01494;TIGR01517	SFLDG00002;SFLDF00027
PTB80160.1	IPR002347	NA	SSF51735	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA
PTB79889.1	IPR029061	GO:0003824	SSF52518;SSF52922	NA	NA	PF02780;PF02779	G3DSA:3.40.50.920;G3DSA:3.40.50.970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81905.1	IPR029068	NA	SSF54593	NA	NA	NA	G3DSA:3.10.180.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74734.1	IPR042523	GO:0005737;GO:0006914;GO:0008641	SSF69572	Reactome: R-HSA-1632852|Reactome: R-HSA-6798695|Reactome: R-HSA-6802952|Reactome: R-HSA-983168	NA	PF16420;PF00899	G3DSA:3.40.140.100;G3DSA:3.40.50.720;G3DSA:3.40.140.70	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	TIGR01381	NA
PTB78510.1	IPR000608		SSF54495	Reactome: R-HSA-983168	SM00212	PF00179	G3DSA:3.10.110.10	mobidb-lite	NA	cd00195	PS50127	NA	NA	NA	NA	NA	NA
PTB79042.1	IPR023606	GO:0008410	SSF89796	NA	NA	PF02515	G3DSA:3.40.50.10540	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75937.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA
PTB77182.1	IPR029006	GO:0006886;GO:0006888;GO:0030127	SSF81811;SSF53300;SSF82754;SSF81995	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	PF08033;PF04815;PF04811;PF00626	G3DSA:3.40.20.10;G3DSA:1.20.120.730;G3DSA:2.60.40.1670;G3DSA:3.40.50.410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76646.1	IPR019811	GO:0006520;GO:0055114;GO:0016491;GO:0050661;GO:0004412	SSF51735;SSF55347	KEGG: 00260+1.1.1.3|KEGG: 00270+1.1.1.3|KEGG: 00300+1.1.1.3	NA	PF03447;PF00742	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	NA	NA	NA	PIRSF036497	PS01042	NA	NA	NA	NA
PTB72512.1	IPR006043	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	PF00860	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78953.1	IPR004254	GO:0016021	NA	NA	NA	PF03006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75383.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72130.1	IPR036812	GO:0016491;GO:0055114	SSF51430	NA	NA	PF00248	G3DSA:3.20.20.100	NA	NA	cd06660	NA	NA	NA	PR00069	NA	NA	NA
PTB78821.1	IPR014347	NA	NA	NA	NA	PF14832	G3DSA:3.30.429.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71431.1	IPR014810	NA	NA	NA	NA	PF08698	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79010.1	IPR003607	NA	SSF109604	NA	SM00471	PF01966	G3DSA:1.10.3210.50	NA	NA	cd00077	NA	NA	NA	NA	NA	NA	NA
PTB72799.1	IPR017850	GO:0003824	SSF53649	NA	NA	NA	G3DSA:3.40.720.10	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB78442.1	IPR004015	GO:0000398;GO:0005681	NA	Reactome: R-HSA-1912408|Reactome: R-HSA-210744|Reactome: R-HSA-2122947|Reactome: R-HSA-2173796|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-350054|Reactome: R-HSA-72163|Reactome: R-HSA-8941856|Reactome: R-HSA-9013508|Reactome: R-HSA-9013695	NA	PF02731	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB74380.1	IPR006311	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	PS51318	NA	NA	NA	NA	NA	NA
PTB78034.1	IPR020846	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	NA	cd06179	PS50850	NA	NA	NA	NA	NA	NA
PTB79508.1	IPR006218	GO:0009058;GO:0003824;GO:0003849;GO:0009073	SSF51569	KEGG: 00540+2.5.1.55|MetaCyc: PWY-1269|MetaCyc: PWY-7674	NA	PF00793	G3DSA:3.20.20.70	NA	NA	NA	NA	PIRSF001361	NA	NA	NA	TIGR00034	NA
PTB81975.1	IPR036770	GO:0005515	SSF48403	NA	SM00248	NA	G3DSA:1.25.40.20	NA	NA	NA	PS50088;PS50297	NA	NA	NA	NA	NA	NA
PTB77327.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	PS00086	PR00463;PR00385	NA	NA	NA
PTB79923.1	IPR010634	NA	SSF52833	NA	NA	PF06764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81914.1	IPR032466	GO:0016810;GO:0016787	SSF51556;SSF51338	NA	NA	PF01979	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79049.1	IPR013087	GO:0003676	NA	NA	SM00355	NA	G3DSA:3.30.160.60	mobidb-lite	NA	NA	NA	NA	PS00028	NA	NA	NA	NA
PTB77482.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78810.1	IPR032472	GO:0003676;GO:0005515	SSF53098;SSF101690	Reactome: R-HSA-1912408|Reactome: R-HSA-203927|Reactome: R-HSA-4086398|Reactome: R-HSA-426486|Reactome: R-HSA-426496|Reactome: R-HSA-5628897|Reactome: R-HSA-5687128|Reactome: R-HSA-8934593|Reactome: R-HSA-8943723|Reactome: R-HSA-8948700|Reactome: R-HSA-8986944|Reactome: R-HSA-9018519|Reactome: R-HSA-9022692|Reactome: R-HSA-9029569	SM00950;SM01163	PF16488;PF08699;PF02171;PF02170;PF16486	G3DSA:3.40.50.2300;G3DSA:2.170.260.10;G3DSA:3.30.420.10	mobidb-lite	Coil	cd02846;cd04657	PS50822;PS50821	NA	NA	NA	NA	NA	NA
PTB76024.1	IPR011990	GO:0005515	NA	NA	NA	NA	G3DSA:1.25.40.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76423.1	IPR007111	GO:0005515	SSF52540;SSF48403	NA	SM00248	PF05729;PF12796	G3DSA:3.40.50.300;G3DSA:1.25.40.20	NA	NA	NA	PS50088;PS50297	NA	NA	PR01415	NA	NA	NA
PTB71756.1	IPR041625		SSF49303;SSF51445;SSF49785	KEGG: 00511+3.2.1.25|Reactome: R-HSA-6798695|Reactome: R-HSA-8853383	NA	PF17753;PF17786	G3DSA:2.60.40.10;G3DSA:3.20.20.80;G3DSA:2.60.120.260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81860.1	IPR007111	GO:0005515	SSF50998;SSF52540	NA	SM00320	PF05729;PF17100	G3DSA:2.130.10.10;G3DSA:3.40.50.300	mobidb-lite	Coil	NA	PS50837	NA	NA	NA	NA	NA	NA
PTB81916.1	IPR000868	GO:0003824	SSF52499	NA	NA	PF00857	G3DSA:3.40.50.850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81824.1	IPR005683	GO:0005741;GO:0006886	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-5205685	NA	PF04281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78572.1	IPR020846	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17327	PS50850	NA	NA	NA	NA	NA	NA
PTB80182.1	IPR001912	GO:0019843;GO:0003735;GO:0006412;GO:0015935;GO:0003723	SSF55174	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	SM01390;SM00363	PF01479;PF00163	G3DSA:3.10.290.10	mobidb-lite	NA	cd00165	PS50889	NA	PS00632	NA	NA	TIGR01018	NA
PTB72137.1	IPR001509	GO:0003824;GO:0050662	SSF51735	NA	NA	PF01370	G3DSA:3.40.50.720	NA	NA	cd08946	NA	NA	NA	NA	NA	NA	NA
PTB71503.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	SM00220	PF00069	G3DSA:3.30.200.20;G3DSA:1.10.510.10	mobidb-lite	NA	cd14096	PS50011	NA	PS00108	NA	NA	NA	NA
PTB72398.1	IPR001611	GO:0005515	SSF52058;SSF56219	NA	NA	PF03372;PF13855	G3DSA:3.80.10.10;G3DSA:3.60.10.10	mobidb-lite	NA	cd09097	PS51450	NA	NA	NA	NA	NA	NA
PTB72706.1	IPR000073	GO:0009058;GO:0016747	SSF53474	NA	NA	PF00561	NA	mobidb-lite	NA	NA	NA	PIRSF000443	NA	NA	MF_00296	TIGR01392	NA
PTB74074.1	IPR001763	NA	SSF52821	NA	SM00450	PF00581	G3DSA:3.40.250.10	NA	NA	cd01449;cd01448	PS50206	NA	NA	NA	NA	NA	NA
PTB76434.1	IPR001509	GO:0003824;GO:0050662	SSF51735	NA	NA	PF01370	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80771.1	IPR005301	NA	SSF101152	NA	SM01388	PF03637	G3DSA:1.20.140.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77222.1	IPR014840	NA	NA	NA	NA	PF08729	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75455.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	SM00220	PF00069	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	cd07836	PS50011	PIRSF000654	PS00108;PS00107	NA	NA	NA	NA
PTB71560.1	IPR017853	GO:0005975;GO:0004553;GO:0008061	SSF51445;SSF54556	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	SM00636	PF00704	G3DSA:3.20.20.80;G3DSA:3.10.50.10	NA	NA	cd06548	NA	NA	PS01095	NA	NA	NA	NA
PTB72165.1	IPR000425	GO:0015267;GO:0016020;GO:0055085	SSF81338	Reactome: R-HSA-432047	NA	PF00230	G3DSA:1.20.1080.10	mobidb-lite	NA	NA	NA	NA	NA	PR00783	NA	NA	NA
PTB72360.1	IPR025340	NA	NA	NA	NA	PF14033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79363.1	IPR023626	GO:0003735;GO:0005840;GO:0006412	SSF48662	NA	NA	PF00832	G3DSA:1.10.1620.10	mobidb-lite	NA	NA	NA	NA	NA	NA	MF_00629	NA	NA
PTB72708.1	IPR029012	GO:0000350	SSF140102	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	NA	PF06246	G3DSA:1.10.287.660	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB72874.1	IPR001303	NA	SSF53639	NA	SM01007	PF00596	G3DSA:3.40.225.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79153.1	IPR000788	GO:0006260;GO:0055114;GO:0004748;GO:0005524	SSF51998;SSF48168	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|KEGG: 00983+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943	NA	PF02867;PF03477;PF00317	G3DSA:3.20.70.20	mobidb-lite	NA	cd01679	PS51161	NA	PS00089	PR01183	NA	TIGR02506	NA
PTB71603.1	IPR018871	NA	NA	NA	NA	PF10528	G3DSA:2.60.120.1560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72128.1	IPR029058	NA	SSF53474	NA	NA	PF00135	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71576.1	IPR023026	GO:0000162;GO:0004834;GO:0003824;GO:0006568	SSF51366;SSF53686	KEGG: 00260+4.2.1.20|KEGG: 00400+4.2.1.20	NA	PF00291;PF00290	G3DSA:3.40.50.1100;G3DSA:3.20.20.70	NA	NA	cd06446;cd04724	NA	NA	PS00167;PS00168	NA	MF_00133;MF_00131	TIGR00262;TIGR00263	NA
PTB80676.1	IPR025602	NA	NA	NA	NA	PF13862	NA	mobidb-lite	Coil	NA	NA	PIRSF028983	NA	NA	NA	NA	NA
PTB71857.1	IPR000763	GO:0004096;GO:0004601;GO:0006979;GO:0020037;GO:0055114	SSF48113	KEGG: 00360+1.11.1.21|KEGG: 00380+1.11.1.21|KEGG: 00940+1.11.1.21|KEGG: 00983+1.11.1.21|MetaCyc: PWY-5506	NA	PF00141	G3DSA:1.10.520.10;G3DSA:1.10.420.10;G3DSA:1.10.420.20	NA	NA	NA	PS51257;PS50873	NA	PS00436;PS00435	PR00458;PR00460	MF_01961	TIGR00198	NA
PTB80929.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
