Gene	Gene3D	interpro	GO	ProSiteProfiles	SUPERFAMILY	Pfam	SMART	MobiDBLite	PATHWAY	ProSitePatterns	CDD	Coils	PRINTS	TIGRFAM	Hamap	PIRSF	SFLD
PNP47632.1	G3DSA:2.30.130.10;G3DSA:3.40.1160.10	IPR019797	GO:0004349;GO:0006561;GO:0003723;GO:0005737	PS50890	SSF53633;SSF88697	PF01472;PF00696	SM00359	mobidb-lite	KEGG: 00330+2.7.2.11|KEGG: 00332+2.7.2.11|MetaCyc: PWY-3341|MetaCyc: PWY-6922|Reactome: R-HSA-8964539	PS00902	NA	NA	PR00474	TIGR01027	NA	PIRSF000729	NA
PNP43071.1	G3DSA:3.40.50.720	IPR002347	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
PNP39088.1	G3DSA:3.40.50.10490	IPR018130	GO:0003735;GO:0005840;GO:0006412;GO:0015935	NA	SSF52313	PF00318	NA	mobidb-lite	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PS00962	cd01425	Coil	PR00395	TIGR01011	MF_00291_B	NA	NA
PNP40791.1	G3DSA:1.20.1250.20	IPR036259	GO:0055085	PS50850	SSF103473	PF07690	NA	NA	NA	NA	cd17327	NA	NA	NA	NA	NA	NA
PNP45360.1	G3DSA:3.30.300.220;G3DSA:1.10.12.10;G3DSA:3.90.226.10	IPR001753	GO:0003824	NA	SSF52096	PF00378	NA	NA	NA	NA	cd06558	Coil	NA	NA	NA	NA	NA
PNP46874.1	G3DSA:1.20.5.170	IPR004827	GO:0003700;GO:0006355	PS50217	SSF57959	PF00170	SM00338	mobidb-lite	NA	PS00036	cd14687	Coil	NA	NA	NA	NA	NA
PNP48441.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45729.1	G3DSA:3.10.350.10	IPR018392	NA	PS51782	SSF54106	PF01476	SM00257	mobidb-lite	NA	NA	cd00118	NA	NA	NA	NA	NA	NA
PNP41769.1	G3DSA:3.30.40.160	IPR037278	GO:0005096	PS50115	SSF57863	PF01412	SM00105	mobidb-lite	NA	NA	cd08830	Coil	PR00405	NA	NA	NA	NA
PNP41251.1	NA	IPR019727	GO:0000276;GO:0015986	NA	NA	PF10791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45513.1	NA	IPR005024	GO:0007034	NA	NA	PF03357	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP46590.1	G3DSA:1.50.10.10	IPR008928	GO:0003824	NA	SSF48208	PF06824	SM01149	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028846	NA
PNP42488.1	G3DSA:3.60.20.10	IPR000426	GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0005839;GO:0051603	PS51475	SSF56235	PF10584;PF00227	SM00948	mobidb-lite	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PS00388	cd03755	NA	NA	NA	NA	NA	NA
PNP38158.1	G3DSA:3.40.50.2020	IPR000836	GO:0009116	NA	SSF53271	PF14681	NA	NA	NA	NA	cd06223	NA	NA	NA	NA	NA	NA
PNP45344.1	G3DSA:3.40.30.10	IPR001853	GO:0015035	NA	SSF52833	PF01323	NA	NA	Reactome: R-HSA-156590|Reactome: R-HSA-9033241	NA	cd03024	NA	NA	NA	NA	NA	NA
PNP45439.1	G3DSA:4.10.240.10	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	SSF57701	PF00172;PF11951	SM00066	NA	NA	NA	cd00067	NA	NA	NA	NA	NA	NA
PNP46783.1	G3DSA:2.40.10.230	IPR007504	GO:0001522;GO:0042254	NA	SSF50447	PF04410	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46315.1	G3DSA:3.40.50.2300	IPR006811	GO:0004721;GO:0005634;GO:0006397	NA	NA	PF04722	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16|Reactome: R-HSA-6807505	NA	NA	NA	NA	NA	NA	NA	NA
PNP48542.1	G3DSA:2.60.120.260;G3DSA:2.60.40.10;G3DSA:3.20.20.80	IPR041447	GO:0004553;GO:0005975	NA	SSF51445;SSF49303;SSF49785	PF17786;PF00703;PF18368	NA	NA	KEGG: 00511+3.2.1.25|Reactome: R-HSA-6798695|Reactome: R-HSA-8853383	NA	NA	NA	NA	NA	NA	NA	NA
PNP47852.1	NA	IPR010349	NA	NA	NA	PF06089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40429.1	G3DSA:1.50.40.10	IPR023395	NA	PS50920	SSF103506	PF00153	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42003.1	G3DSA:1.25.40.20	IPR020683	GO:0005515	PS50088;PS50297	SSF48403	PF12796	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38828.1	G3DSA:3.40.50.720	IPR002347	GO:0016491	NA	SSF51735	PF13561	NA	NA	NA	PS00061	cd05233	NA	PR00081;PR00080	NA	NA	NA	NA
PNP38305.1	G3DSA:3.40.50.1820	IPR029058	NA	NA	SSF53474	PF05057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39932.1	G3DSA:3.10.20.90;G3DSA:1.25.40.10	IPR019734	GO:0005515	PS50005;PS50293;PS51745	SSF54277;SSF48452	PF00515;PF00564	SM00028	mobidb-lite	NA	NA	cd06408	NA	NA	NA	NA	NA	NA
PNP48907.1	NA	IPR016680	GO:0006120	PS51808	NA	PF06747	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	PIRSF017016	NA
PNP48093.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39508.1	G3DSA:2.60.40.1910;G3DSA:2.60.40.1730;G3DSA:1.25.50.20;G3DSA:1.10.390.60	IPR014782	GO:0008237;GO:0008270;GO:0006508	NA	SSF55486;SSF63737	PF01433;PF11838;PF17900	NA	NA	NA	NA	cd09601	NA	PR00756	NA	NA	NA	NA
PNP48639.1	G3DSA:3.20.20.140	IPR006680	GO:0016787;GO:0016810	NA	SSF51338;SSF51556	PF01979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42928.1	NA	IPR006760		NA	NA	PF04667	NA	mobidb-lite	Reactome: R-HSA-2465910	NA	NA	NA	NA	NA	NA	NA	NA
PNP45021.1	G3DSA:1.10.3080.10	IPR014743	GO:0005247;GO:0006821;GO:0016020;GO:0055085	NA	SSF81340	PF00654	NA	mobidb-lite	Reactome: R-HSA-2672351	NA	NA	NA	PR00762	NA	NA	NA	NA
PNP43011.1	G3DSA:3.90.25.10;G3DSA:3.40.50.720	IPR001509	GO:0003824;GO:0050662	NA	SSF51735	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47707.1	G3DSA:3.30.390.30;G3DSA:3.50.50.60	IPR023753	GO:0016491;GO:0055114;GO:0016668;GO:0004362;GO:0006749;GO:0050660;GO:0050661;GO:0009055;GO:0045454	NA	SSF51905;SSF55424	PF07992;PF02852	NA	NA	KEGG: 00480+1.8.1.7|MetaCyc: PWY-4081|Reactome: R-HSA-2408550|Reactome: R-HSA-3299685|Reactome: R-HSA-499943|Reactome: R-HSA-5628897	PS00076	NA	NA	PR00411;PR00368	TIGR01421	NA	PIRSF000350	NA
PNP44106.1	G3DSA:3.40.50.2000	IPR028098		NA	SSF53756	PF13579;PF00534	NA	NA	Reactome: R-HSA-446193|Reactome: R-HSA-4549349	NA	cd03814	NA	NA	NA	NA	NA	NA
PNP37669.1	NA	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43468.1	NA	IPR006846	GO:0003735;GO:0005840;GO:0006412	NA	NA	PF04758	NA	mobidb-lite	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA
PNP37098.1	G3DSA:2.60.40.2440	IPR005036	GO:0005515	PS51159	NA	PF03370	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47958.1	G3DSA:3.30.1370.10;G3DSA:4.10.60.10	IPR001878	GO:0003676;GO:0008270;GO:0003723	PS50158;PS50084	SSF54791;SSF57756	PF16275;PF00098;PF00013	SM00322;SM00343	mobidb-lite	Reactome: R-HSA-72163	NA	cd02395	Coil	NA	NA	NA	NA	NA
PNP37827.1	NA	IPR002889	NA	PS51212	NA	PF01822	SM00321	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45472.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PF04082	SM00906	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA
PNP47572.1	G3DSA:3.30.70.930	IPR002767	NA	NA	SSF89957	PF01910	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR00106	NA	NA	NA
PNP37146.1	G3DSA:1.10.20.10	IPR009072	GO:0046982;GO:0000786;GO:0003677	NA	SSF47113	PF00125	SM00427	mobidb-lite	NA	PS00357	NA	NA	PR00621	NA	NA	NA	NA
PNP40691.1	G3DSA:3.60.15.10	IPR001279	NA	NA	SSF56281	PF00753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42793.1	G3DSA:2.60.120.200	IPR000757	GO:0004553;GO:0005975	PS51762	SSF49899	PF00722	NA	NA	NA	NA	cd02183	NA	NA	NA	NA	NA	NA
PNP45085.1	NA	IPR017850	GO:0003824;GO:0008484	NA	SSF53649	PF00884	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41261.1	G3DSA:3.30.40.10	IPR013083	GO:0003677;GO:0006281;GO:0003697;GO:0006301;GO:0006513;GO:0061630	PS50800;PS50089	SSF57850	PF13923	SM00513;SM00184;SM00734	mobidb-lite	MetaCyc: PWY-7511	PS00518	cd16529	Coil	NA	TIGR00599	NA	NA	NA
PNP37790.1	G3DSA:3.50.50.100	IPR023753	GO:0016491;GO:0055114	NA	SSF51905	PF07992	NA	NA	NA	NA	NA	NA	PR00368	NA	NA	NA	NA
PNP43150.1	G3DSA:1.20.1270.60	IPR028565		PS51072	SSF103657	PF10291	NA	mobidb-lite	Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	NA	cd07650;cd09264	Coil	NA	NA	NA	NA	NA
PNP46902.1	G3DSA:2.40.30.180;G3DSA:3.40.50.12550;G3DSA:3.40.50.720;G3DSA:3.10.290.60;G3DSA:3.50.50.80;G3DSA:1.10.10.2660	IPR032418	GO:0008641;GO:0006464	NA	SSF69572	PF16190;PF10585;PF00899;PF09358;PF16191	SM00985	NA	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PS00865	cd01491;cd01490	NA	PR01849	TIGR01408	NA	NA	NA
PNP45928.1	G3DSA:3.30.160.60	IPR013087	GO:0003676	PS50157	SSF57667	PF00096	SM00355	mobidb-lite	NA	PS00028	NA	Coil	NA	NA	NA	NA	NA
PNP47264.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45336.1	G3DSA:3.40.525.10;G3DSA:1.10.8.20	IPR011074	NA	PS50191	SSF52087;SSF46938	PF03765;PF00650	SM01100;SM00516	NA	NA	NA	cd00170	NA	PR00180	NA	NA	NA	NA
PNP37641.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41810.1	G3DSA:3.30.70.330	IPR012677	GO:0006397;GO:0003676;GO:0046872	PS50103;PS50102	SSF54928	PF01480;PF00076	SM00360	mobidb-lite	NA	NA	cd12257	Coil	NA	NA	NA	NA	NA
PNP44227.1	G3DSA:2.80.10.50;G3DSA:2.70.98.30	IPR040720	NA	NA	SSF50405	PF17652;PF03639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42657.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37032.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48098.1	NA	IPR006214	NA	NA	NA	PF01027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40290.1	NA	IPR029058	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43947.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	SSF57701	PF04082	SM00906	mobidb-lite	NA	PS00463	cd12148;cd00067	NA	NA	NA	NA	NA	NA
PNP37923.1	G3DSA:1.20.58.1850	IPR016137	NA	PS50132	SSF48097	PF00615	SM00315	mobidb-lite	NA	NA	cd07440	NA	NA	NA	NA	NA	NA
PNP39116.1	G3DSA:1.20.1530.20	IPR038770	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	NA	PF00999	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43801.1	G3DSA:2.40.160.10	IPR023614	GO:0005741;GO:0008308;GO:0098656;GO:0055085	NA	NA	PF01459	NA	NA	Reactome: R-HSA-5689880|Reactome: R-HSA-8949215	NA	cd07306	NA	PR00185	NA	NA	NA	NA
PNP47441.1	NA	IPR011043	NA	NA	SSF50965	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41907.1	G3DSA:2.40.50.690;G3DSA:2.40.50.700;G3DSA:2.40.50.140	IPR012340	GO:0003723;GO:0004540	NA	SSF50249	PF17849;PF00773;PF17877	SM00955	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP47207.1	NA	IPR008389	GO:0015078;GO:0033179;GO:1902600	NA	NA	PF05493	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	NA	NA	NA	NA	NA	NA
PNP48744.1	NA	IPR002528	GO:0015297;GO:0016020;GO:0042910;GO:0055085	NA	NA	PF01554	NA	mobidb-lite	Reactome: R-HSA-425366	NA	cd13132	NA	NA	TIGR00797	NA	NA	NA
PNP40710.1	NA	IPR015366	GO:0008236;GO:0004252;GO:0006508	PS51695	SSF52743;SSF54897	PF09286	SM00944	NA	Reactome: R-HSA-381038	NA	cd04056;cd11377	NA	NA	NA	NA	NA	NA
PNP39318.1	G3DSA:3.40.50.1820	IPR000073	NA	NA	SSF53474	PF00561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41852.1	NA	IPR006771	NA	NA	NA	PF04681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40374.1	G3DSA:3.90.79.10	IPR000086	GO:0016787	PS51462	SSF55811	PF00293	NA	mobidb-lite	NA	NA	cd04666	NA	NA	NA	NA	NA	NA
PNP45023.1	G3DSA:2.40.50.140;G3DSA:3.30.470.30;G3DSA:1.10.3260.10;G3DSA:3.30.1490.70	IPR012308	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0005524;GO:0071897;GO:0003909;GO:0051103	PS50160	SSF50249;SSF56091;SSF117018	PF04675;PF01068;PF04679	NA	mobidb-lite	NA	PS00697;PS00333	cd07900;cd07969	NA	NA	TIGR00574	NA	NA	NA
PNP42964.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46116.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42117.1	G3DSA:1.20.5.170;G3DSA:1.10.238.100	IPR004827	GO:0003700;GO:0006355	PS50217	SSF111430;SSF57959	PF00170;PF08601	SM00338	mobidb-lite	NA	PS00036	cd14688	Coil	NA	NA	NA	NA	NA
PNP44029.1	G3DSA:3.40.50.1220;G3DSA:3.40.50.970	IPR012001	GO:0030976;GO:0000287	NA	SSF52467;SSF52518	PF02776;PF00205	NA	NA	NA	NA	cd07035	NA	NA	NA	NA	NA	NA
PNP38237.1	G3DSA:3.30.420.10	IPR034922	GO:0003676	NA	SSF53098	PF00929	SM00479	mobidb-lite	NA	NA	cd06145	NA	NA	NA	NA	NA	NA
PNP40796.1	G3DSA:3.40.50.150	IPR029063	NA	NA	SSF53335	PF13649	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA
PNP46618.1	G3DSA:3.30.70.330	IPR000504	GO:0003676;GO:0000398	PS50102	SSF54928	PF00076	SM00360	mobidb-lite	NA	NA	cd12285;cd12281	NA	NA	NA	NA	NA	NA
PNP42736.1	G3DSA:3.90.1260.10;G3DSA:3.40.50.620	IPR024074	GO:0004055;GO:0005524;GO:0006526	NA	SSF69864	PF00764	NA	NA	KEGG: 00220+6.3.4.5|KEGG: 00250+6.3.4.5|MetaCyc: PWY-4983|MetaCyc: PWY-4984|MetaCyc: PWY-5|MetaCyc: PWY-5154|MetaCyc: PWY-7400|Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PNP39024.1	NA	IPR010733	NA	NA	NA	PF07000	NA	mobidb-lite	NA	NA	cd03111	Coil	NA	NA	NA	NA	NA
PNP44310.1	G3DSA:1.10.630.10	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	SSF48264	PF00067	NA	NA	NA	PS00086	NA	NA	PR00463;PR00385	NA	NA	NA	NA
PNP43096.1	G3DSA:3.40.50.1000;G3DSA:1.20.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.1110.10	IPR036412	GO:0016021;GO:0006812;GO:0019829;GO:0000166	NA	SSF56784;SSF81665;SSF81660;SSF81653	PF00702;PF00689;PF00122;PF00690	SM00831	mobidb-lite	Reactome: R-HSA-936837	PS00154	NA	NA	PR00119;PR00120	TIGR01494;TIGR01523	NA	NA	SFLDG00002;SFLDF00027
PNP40964.1	G3DSA:4.10.240.10	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	SSF57701	PF00172	SM00066	mobidb-lite	NA	PS00463	cd00067;cd12148	NA	NA	NA	NA	NA	NA
PNP44388.1	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	IPR000873	GO:0003824	NA	SSF56801	PF00501;PF13193	NA	NA	NA	PS00455	cd04433	NA	NA	NA	NA	NA	NA
PNP44042.1	G3DSA:3.40.50.10190	IPR001357	NA	PS50172	SSF52113	PF16589	SM00292	mobidb-lite	NA	NA	cd17719	Coil	NA	NA	NA	NA	NA
PNP39763.1	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	IPR004045	GO:0005515	PS50404;PS50405	SSF52833;SSF47616	PF00043;PF02798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDG00358;SFLDS00019
PNP40273.1	G3DSA:3.10.20.90	IPR013536	NA	PS51397	SSF54236	PF08325	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP45078.1	G3DSA:3.40.50.1820	IPR000073	GO:0003824	NA	SSF53474	PF00561	NA	NA	NA	NA	NA	NA	PR00111;PR00412	NA	NA	NA	NA
PNP39077.1	NA	NA	NA	NA	NA	PF08700	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38194.1	G3DSA:3.40.50.720;G3DSA:3.90.25.10	IPR008030		NA	SSF51735	PF05368	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PNP42943.1	G3DSA:1.20.900.10	IPR035899	GO:0005085	PS50010	SSF48065	PF00621	SM00325	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP44740.1	G3DSA:3.40.50.1820	IPR002018	NA	NA	SSF53474	PF00135	NA	NA	NA	PS00122	NA	NA	NA	NA	NA	NA	NA
PNP43197.1	G3DSA:3.30.60.10;G3DSA:3.20.20.370	IPR002509	GO:0005975;GO:0016810;GO:0003824;GO:0008061	PS50941;PS51677	SSF88713;SSF57016	PF01522;PF00187	SM00270	mobidb-lite	NA	NA	cd00035;cd10951;cd11618	NA	NA	NA	NA	NA	NA
PNP39554.1	G3DSA:3.40.50.1860	IPR001920	GO:0016855;GO:0006807;GO:0036361;GO:0047661	NA	SSF53681	PF01177	NA	NA	KEGG: 00471+5.1.1.3|MetaCyc: PWY-6386|MetaCyc: PWY-6387	PS00924	NA	NA	NA	TIGR00035	NA	NA	NA
PNP41135.1	G3DSA:1.25.40.20	IPR036770	GO:0006629;GO:0008081;GO:0005515	PS51704;PS50088;PS51382;PS50297	SSF48403;SSF51695	PF03105;PF12796;PF03009	SM00248	mobidb-lite	NA	NA	cd14484	NA	PR01415	NA	NA	NA	NA
PNP38720.1	G3DSA:3.60.21.10	IPR004843	GO:0016787	NA	SSF56300	PF00149	SM00156	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PS00125	cd07415	NA	PR00114	NA	NA	NA	NA
PNP39250.1	NA	IPR019331	NA	NA	NA	PF10187	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47680.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46083.1	G3DSA:3.40.50.1970	IPR034786	GO:0018506	NA	SSF56796	NA	NA	mobidb-lite	KEGG: 00361+1.3.1.32|KEGG: 00362+1.3.1.32|KEGG: 00364+1.3.1.32|KEGG: 00623+1.3.1.32|MetaCyc: PWY-5487|MetaCyc: PWY-5488|MetaCyc: PWY-6041|MetaCyc: PWY-6084|MetaCyc: PWY-6087|MetaCyc: PWY-6089|MetaCyc: PWY-6093|MetaCyc: PWY-6094|MetaCyc: PWY-6107|MetaCyc: PWY-6178|MetaCyc: PWY-6193|MetaCyc: PWY-6200|MetaCyc: PWY-7002|MetaCyc: PWY-7081|MetaCyc: PWY-7772|MetaCyc: PWY-7773	NA	cd08177	NA	NA	NA	NA	NA	NA
PNP42201.1	NA	NA	NA	NA	NA	PF07264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46716.1	G3DSA:1.10.510.10	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	SSF56112	PF00069	SM00220	NA	NA	PS00108	cd00180	NA	NA	NA	NA	NA	NA
PNP41142.1	NA	IPR024336		NA	NA	PF12928	NA	mobidb-lite	Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA	NA
PNP45192.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43424.1	NA	IPR007074	NA	NA	NA	PF04991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37943.1	NA	IPR000904	GO:0005086;GO:0032012;GO:0006886;GO:0016192	PS50190;PS50219;PS50236	NA	PF10367;PF00780;PF10366	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP47361.1	NA	IPR016024	NA	NA	SSF48371	PF04063;PF04064	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP38505.1	NA	IPR022190	NA	NA	NA	PF12511	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP48254.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46044.1	G3DSA:3.20.120.10	IPR036686	GO:0005576	NA	SSF101751	PF06766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40603.1	G3DSA:3.10.450.50	IPR032710	GO:0030638	NA	SSF54427	PF07366	NA	NA	MetaCyc: PWY-7352|MetaCyc: PWY-7354	NA	NA	NA	NA	NA	NA	NA	NA
PNP45777.1	NA	IPR022577		NA	SSF48371	PF12612	NA	NA	Reactome: R-HSA-389977	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37487.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP40266.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42178.1	NA	IPR008952	GO:0016021	NA	SSF48652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45671.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46080.1	G3DSA:3.20.20.190	IPR017946	GO:0006629;GO:0008081	PS51704	SSF51695	PF03009	NA	NA	NA	NA	cd08560	NA	NA	NA	NA	NA	NA
PNP47442.1	G3DSA:4.10.280.10	IPR011598	GO:0046983	PS50888	SSF47459	PF00010	SM00353	mobidb-lite	NA	NA	cd00083	Coil	NA	NA	NA	NA	NA
PNP39729.1	G3DSA:3.40.50.12780	IPR000873	GO:0003824	NA	SSF56801	PF00501	NA	NA	NA	PS00455	cd05918	NA	PR00154	NA	NA	NA	NA
PNP40210.1	G3DSA:3.40.50.720;G3DSA:1.10.1040.10	IPR013332	GO:0055114;GO:0016491	NA	SSF48179	PF02558;PF08546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45422.1	G3DSA:2.60.120.700	IPR000250	GO:0004190;GO:0006508	NA	SSF49899	PF01828	NA	NA	NA	NA	cd13426	NA	PR00977	NA	NA	NA	NA
PNP47295.1	G3DSA:2.60.40.790	IPR002068	NA	PS01031	SSF49764	PF00011	NA	NA	NA	NA	cd06464	NA	NA	NA	NA	NA	NA
